ghr,hvac,lights,boundaries,envelope,shgc,building,afn,atm_hvac_light_cons,atm_cons,office_hvac_light_cons,office_cons,total_hvac_light_cons,total_cons,total_cons_area
3495,1,9.9,1,2.5,0.3,1,1,986.315239242292,3848.79,29519.59,69389.32,30505.91,73238.11,122.06
3495,1,23.6,2,2.5,0.3,3,1,2107.00729580914,4969.48,57176.45,97046.18,59283.46,102015.66,170.03
3495,1,23.6,2,2.5,0.3,3,0,2114.1398899738,4976.61,59331.03,99200.76,61445.17,104177.37,173.63
3495,1,23.6,2,2.5,0.3,4,1,2096.29927452029,4958.77,57091.73,96961.46,59188.03,101920.23,169.87
3495,1,23.6,2,2.5,0.3,4,0,2104.69658748871,4967.17,59206.91,99076.64,61311.61,104043.81,173.41
3495,1,23.6,2,2.5,0.7,1,1,2087.82190602417,4950.29,57170.95,97040.68,59258.77,101990.97,169.98
3495,1,23.6,2,2.5,0.7,1,0,2095.96555663542,4958.44,59270.54,99140.27,61366.51,104098.71,173.5
3495,1,23.6,2,2.5,0.7,2,1,2115.30595857342,4977.78,57631.79,97501.52,59747.1,102479.3,170.8
3495,1,23.6,2,2.5,0.7,2,0,2122.44585387751,4984.92,59670.28,99540.01,61792.73,104524.93,174.21
3495,1,23.6,2,2.5,0.7,3,1,2149.01477474634,5011.48,58197.01,98066.74,60346.02,103078.22,171.8
3495,1,23.6,2,2.5,0.7,3,0,2153.75209362924,5016.22,60230.42,100100.15,62384.17,105116.37,175.19
3495,1,9.9,1,2.5,0.7,2,1,1061.23796693887,3923.71,29768.92,69638.65,30830.16,73562.36,122.6
3495,1,23.6,2,2.5,0.7,4,1,2138.40411113954,5000.87,58038.76,97908.49,60177.16,102909.36,171.52
3495,1,23.6,2,2.5,0.7,4,0,2143.99013791534,5006.46,60058.11,99927.84,62202.1,104934.3,174.89
3495,1,23.6,2,3.7,0.3,1,1,2091.54184318189,4954.01,56783.8,96653.53,58875.34,101607.54,169.35
3495,1,23.6,2,3.7,0.3,1,0,2100.29786818492,4962.77,58899.44,98769.17,60999.74,103731.94,172.89
3495,1,23.6,2,3.7,0.3,2,1,2102.74879151073,4965.22,57020.22,96889.95,59122.97,101855.17,169.76
3495,1,23.6,2,3.7,0.3,2,0,2110.75974499295,4973.23,59124.75,98994.48,61235.51,103967.71,173.28
3495,1,23.6,2,3.7,0.3,3,1,2119.02238005627,4981.49,57284.76,97154.49,59403.78,102135.98,170.23
3495,1,23.6,2,3.7,0.3,3,0,2125.27023577581,4987.74,59426.77,99296.5,61552.04,104284.24,173.81
3495,1,23.6,2,3.7,0.3,4,1,2114.66852475435,4977.14,57205.81,97075.54,59320.48,102052.68,170.09
3495,1,23.6,2,3.7,0.3,4,0,2121.89421671267,4984.36,59339.19,99208.92,61461.08,104193.28,173.66
3495,1,9.9,1,2.5,0.7,2,0,1068.14030282437,3930.61,30265.64,70135.37,31333.78,74065.98,123.44
3495,1,23.6,2,3.7,0.7,1,1,2118.91306787741,4981.38,57417.23,97286.96,59536.14,102268.34,170.45
3495,1,23.6,2,3.7,0.7,1,0,2125.35126276081,4987.82,59511.21,99380.94,61636.56,104368.76,173.95
3495,1,23.6,2,3.7,0.7,2,1,2135.41111143003,4997.88,57837.39,97707.12,59972.8,102705,171.18
3495,1,23.6,2,3.7,0.7,2,0,2140.83579286283,5003.31,59859.37,99729.1,62000.21,104732.41,174.55
3495,1,23.6,2,3.7,0.7,3,1,2157.69218111787,5020.16,58342.27,98212,60499.96,103232.16,172.05
3495,1,23.6,2,3.7,0.7,3,0,2161.4267301311,5023.9,60327.96,100197.69,62489.39,105221.59,175.37
3495,1,23.6,2,3.7,0.7,4,1,2152.28322915093,5014.75,58193.57,98063.3,60345.85,103078.05,171.8
3495,1,23.6,2,3.7,0.7,4,0,2156.3657926039,5018.84,60211.59,100081.32,62367.96,105100.16,175.17
3495,1,9.9,1,2.5,0.7,3,1,1078.81626560698,3941.29,29832.7,69702.43,30911.52,73643.72,122.74
3495,1,9.9,1,2.5,0.7,3,0,1084.92543291298,3947.4,30468.15,70337.88,31553.08,74285.28,123.81
3495,1,9.9,1,2.5,0.7,4,1,1010.13489423949,3872.6,29763.7,69633.43,30773.83,73506.03,122.51
3495,1,9.9,1,2.5,0.7,4,0,1015.19413156821,3877.66,30339.26,70208.99,31354.45,74086.65,123.48
3495,1,9.9,1,3.7,0.3,1,1,1006.91312925348,3869.38,27814.19,67683.92,28821.1,71553.3,119.26
3495,1,9.9,1,3.7,0.3,1,0,1016.98631455678,3879.46,28166.8,68036.53,29183.79,71915.99,119.86
3495,1,9.9,1,3.7,0.3,2,1,1042.52134853755,3904.99,27862.45,67732.18,28904.97,71637.17,119.4
3495,1,9.9,1,3.7,0.3,2,0,1052.82916794996,3915.3,28261.55,68131.28,29314.38,72046.58,120.08
3495,1,9.9,1,2.5,0.3,1,0,992.01013194605,3854.48,29863.89,69733.62,30855.9,73588.1,122.65
3495,1,9.9,1,3.7,0.3,3,1,1048.81636619522,3911.29,27838.27,67708,28887.09,71619.29,119.37
3495,1,9.9,1,3.7,0.3,3,0,1059.27734595683,3921.75,28334.53,68204.26,29393.81,72126.01,120.21
3495,1,9.9,1,3.7,0.3,4,1,1010.06035210893,3872.53,27846.83,67716.56,28856.89,71589.09,119.32
3495,1,9.9,1,3.7,0.3,4,0,1020.26900394052,3882.74,28287.81,68157.54,29308.08,72040.28,120.07
3495,1,9.9,1,3.7,0.7,1,1,1030.78035984319,3893.25,28003.69,67873.42,29034.47,71766.67,119.61
3495,1,9.9,1,3.7,0.7,1,0,1040.9646836769,3903.43,28572.01,68441.74,29612.97,72345.17,120.58
3495,1,9.9,1,3.7,0.7,2,1,1072.45440216168,3934.92,28140.44,68010.17,29212.89,71945.09,119.91
3495,1,9.9,1,3.7,0.7,2,0,1082.61826832956,3945.09,28802.78,68672.51,29885.4,72617.6,121.03
3495,1,9.9,1,3.7,0.7,3,1,1089.28316399234,3951.75,28196.12,68065.85,29285.4,72017.6,120.03
3495,1,9.9,1,3.7,0.7,3,0,1098.47976743999,3960.95,29067.39,68937.12,30165.87,72898.07,121.5
3495,1,9.9,1,2.5,0.3,2,1,1039.38167043817,3901.85,29535.64,69405.37,30575.02,73307.22,122.18
3495,1,9.9,1,3.7,0.7,4,1,1048.00661646322,3910.48,28214.25,68083.98,29262.26,71994.46,119.99
3495,1,9.9,1,3.7,0.7,4,0,1057.56944353052,3920.04,28947.03,68816.76,30004.6,72736.8,121.23
3495,1,9.9,2,2.5,0.3,1,1,1062.25816601437,3924.73,28285.51,68155.24,29347.77,72079.97,120.13
3495,1,9.9,2,2.5,0.3,1,0,1083.82449498104,3946.29,29545.07,69414.8,30628.89,73361.09,122.27
3495,1,9.9,2,2.5,0.3,2,1,1089.02707925579,3951.5,28504.95,68374.68,29593.98,72326.18,120.54
3495,1,9.9,2,2.5,0.3,2,0,1109.72372300236,3972.19,29898.96,69768.69,31008.68,73740.88,122.9
3495,1,9.9,2,2.5,0.3,3,1,1129.25785968498,3991.73,28660.64,68530.37,29789.9,72522.1,120.87
3495,1,9.9,2,2.5,0.3,3,0,1147.93347417731,4010.4,30315.17,70184.9,31463.1,74195.3,123.66
3495,1,9.9,2,2.5,0.3,4,1,1116.2926177156,3978.76,28683.2,68552.93,29799.49,72531.69,120.89
3495,1,9.9,2,2.5,0.3,4,0,1135.89945886286,3998.37,30161.99,70031.72,31297.89,74030.09,123.38
3495,1,9.9,1,2.5,0.3,2,0,1046.40051634847,3908.87,29886.77,69756.5,30933.17,73665.37,122.78
3495,1,9.9,2,2.5,0.7,1,1,1107.47801076872,3969.95,28734.42,68604.15,29841.9,72574.1,120.96
3495,1,9.9,2,2.5,0.7,1,0,1125.63159016067,3988.1,30260.83,70130.56,31386.46,74118.66,123.53
3495,1,9.9,2,2.5,0.7,2,1,1144.0518262457,4006.52,29139.66,69009.39,30283.71,73015.91,121.69
3495,1,9.9,2,2.5,0.7,2,0,1160.24774356743,4022.72,30830.98,70700.71,31991.23,74723.43,124.54
3495,1,9.9,2,2.5,0.7,3,1,1197.81619352377,4060.29,29530.51,69400.24,30728.33,73460.53,122.43
