"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_PB_Sao.Goncalo.817740_INMET","PB","Sousa",68822,7,26.82941781,0,6142.7,1041.4
"BRA_PE_Arcoverde.819530_INMET","PE","Arcoverde",72625,7,23.58666667,0,4959.1,237.9
"BRA_PE_Cabrobo.828860_INMET","PE","Cabrobo",33247,7,26.78030822,0,6124.8,1029.4
"BRA_PE_Caruaru.828950_INMET","PE","Caruaru",347088,8,23.33968037,0,4869,113.4
"BRA_PE_Floresta.819770_INMET","PE","Floresta",31809,7,26.60287671,0,6060,975.4
"BRA_PE_Garanhuns.819550_INMET","PE","Garanhuns",136949,5,21.03924658,5.7,4029.3,7.1
"BRA_PE_Ibimirim.819540_INMET","PE","Ibimirim",28604,8,25.59972603,0,5693.9,729.8
"BRA_PE_Palmares.819570_INMET","PE","Palmares",62300,8,25.0530137,0,5494.4,469.3
"BRA_PE_Petrolina.819910_INMET","PE","Petrolina",331951,7,26.91041096,0,6172.3,1069.6
"BRA_PE_Recife.819580_INMET","PE","Recife",1617183,8,25.75100457,0,5749.1,660.9
"BRA_PE_Serra.Talhada.819120_INMET","PE","Serra Talhada",84352,6,25.26196347,0,5570.6,590.3
"BRA_PE_Surubim.819170_INMET","PE","Surubim",63166,8,24.21863014,0,5189.8,282.9
"BRA_PI_Alvorada.do.Gurgueia.818460_INMET","PI","Alvorada do Gurgueia",5278,7,26.30535388,0,5951.5,860.7
"BRA_PI_Bom.Jesus.do.Piaui.829750_INMET","PI","Bom Jesus",24327,7,26.39155251,0,5982.9,892.3
"BRA_PI_Caracol.819880_INMET","PI","Caracol",10641,7,24.69560502,0,5363.9,462.5
"BRA_PI_Castelo.do.Piaui.818290_INMET","PI","Castelo do Piaui",18160,7,27.32623288,0,6324.1,1217.5
"BRA_PI_Esperantina.817510_INMET","PI","Esperantina",38874,8,26.98109589,0,6198.1,1088.2
"BRA_PI_Floriano.818680_INMET","PI","Floriano",58803,7,27.58409817,0,6418.2,1308.9
"BRA_PI_Gilbues.819860_INMET","PI","Gilbues",10514,7,26.49365297,0,6020.2,922.5
"BRA_PI_Oeiras.818690_INMET","PI","Oeiras",36329,7,26.79577626,0,6130.5,1024.9
"BRA_PI_Parnaiba.817520_INMET","PI","Parnaiba",149803,8,27.34453196,0,6330.8,1220.9
"BRA_PI_Paulistana.828820_INMET","PI","Paulistana",20168,7,27.58108447,0,6417.1,1310.4
"BRA_PI_Picos.827910_INMET","PI","Picos",76544,7,28.21813927,0,6649.6,1540.3
"BRA_PI_Piripiri.817940_INMET","PI","Piripiri",62650,7,27.90363014,0,6534.8,1425.1
"BRA_PI_Sao.Joao.do.Piaui.818480_INMET","PI","Sao Joao do Piaui",20146,7,28.24011416,0,6657.6,1549.7
"BRA_PI_Sao.Pedro.do.Piaui.818280_INMET","PI","Sao Pedro do Piaui",13994,7,26.23461187,0,5925.6,823.8
"BRA_PI_Sao.Raimundo.Nonato.819890_INMET","PI","Sao Raimundo Nonato",33802,7,27.03424658,0,6217.5,1109.7
"BRA_PI_Teresina.818320_INMET","PI","Teresina",844245,7,27.6931621,0,6458,1348.3
"BRA_PI_Urucui.819050_INMET","PI","Urucui",21011,7,25.81405251,0,5772.1,689
"BRA_PI_Valenca.do.Piaui.818700_INMET","PI","Valenca do Piaui",20568,7,27.06648402,0,6229.3,1122.7
"BRA_PR_Castro.869210_INMET","PR","Castro",70810,1,16.87437215,715.7,2510.6,0
"BRA_PR_Cidade.Gaucha.868980_INMET","PR","Cidade Gaucha",12069,3,22.8206621,87.5,4679.5,333.5
"BRA_PR_Clevelandia.869390_INMET","PR","Clevelandia",17373,1,17.5685274,606.7,2785,0.8
"BRA_PR_Curitiba.838420_INMET","PR","Curitiba",1879355,1,17.38077626,598.6,2695.1,0.1
"BRA_PR_Diamante.do.Norte.868610_INMET","PR","Diamante do Norte",5463,3,22.79497717,75.5,4670.2,301.3
"BRA_PR_Dois.Vizinhos.869270_INMET","PR","Dois Vizinhos",39138,2,20.0176484,300.3,3662.6,55.7
"BRA_PR_Foz.do.Iguacu-Cataratas.Intl.AP.869250_INMET","PR","Foz do Iguacu",263782,3,21.54128995,332.4,4215.7,322.5
"BRA_PR_General.Carneiro.869410_INMET","PR","General Carneiro",14039,2,15.84160959,1002.7,2157.2,0
"BRA_PR_Ibaiti.869020_INMET","PR","Ibaiti",30678,2,20.21466895,204.1,3728.5,66
"BRA_PR_Icaraima.868970_INMET","PR","Icaraima",8641,3,22.41539954,163.7,4534.6,295.8
"BRA_PR_Ilha.do.Mel.869350_INMET","PR","Paranagua",150660,3,21.06252283,72.8,4037.8,84.5
"BRA_PR_Inacio.Martins.869290_INMET","PR","Inacio Martins",11307,2,16.28953196,857.4,2350.5,0
"BRA_PR_Ivai.869300_INMET","PR","Ivai",13628,2,19.09050228,427.3,3328.9,9.4
"BRA_PR_Joaquim.Tavora.869030_INMET","PR","Joaquim Tavora",11544,2,20.51113014,171.1,3838.2,51.1
"BRA_PR_Londrina.837680_INMET","PR","Londrina",548249,3,21.8308105,139.4,4318.2,124.7
"BRA_PR_Marechal.Candido.Rondon.869160_INMET","PR","Marechal Candido Rondon",50808,3,21.40307078,192,4164.9,145.3
"BRA_PR_Maringa.868990_INMET","PR","Maringa",397437,1,23.02703196,99.7,4754.9,292.6
"BRA_PR_Nova.Fatima.869010_INMET","PR","Nova Fatima",8359,3,20.77063927,148.4,3931.5,26.2
"BRA_PR_Nova.Tebas.869190_INMET","PR","Nova Tebas",6792,2,20.20173516,198.8,3723.6,29.1
"BRA_PR_Paranapoema.868620_INMET","PR","Paranapoema",3050,3,22.86751142,56.4,4696.6,294.8
"BRA_PR_Planalto.869260_INMET","PR","Planalto",13926,2,21.32466895,217.9,4138.3,212.3
"BRA_RJ_Arraial.do.Cabo.868920_INMET","RJ","Arraial do Cabo",29097,3,22.93054795,0,4719.7,98
"BRA_RJ_Cambuci.868540_INMET","RJ","Cambuci",14836,5,23.304121,8.4,4856,304.4
"BRA_RJ_Campos.dos.Goytacazes.868550_INMET","RJ","Campos dos Goytacazes",483970,5,24.01347032,0,5114.9,388.8
"BRA_RJ_Duque.de.Caxias-Xerem.868770_INMET","RJ","Duque de Caxias",882729,5,23.05347032,9.4,4764.5,305.2
"BRA_RJ_Farol.de.Sao.Tome.868900_INMET","RJ","Campos dos Goytacazes",483970,5,23.78877854,0,5032.9,269.6
"BRA_RJ_Macae.868910_INMET","RJ","Macae",234628,5,23.57098174,1.1,4953.4,309.1
"BRA_RJ_Niteroi.868810_INMET","RJ","Niteroi",496696,5,21.9460274,18.1,4360.3,97.3
"BRA_RJ_Paraty.869130_INMET","RJ","Parati",40478,3,22.01192922,12.4,4384.4,117.1
"BRA_RJ_Petropolis-Pico.do.Couto.868760_INMET","RJ","Petropolis",298142,3,13.60248858,1610,1382.7,0
"BRA_RJ_Resende.837380_INMET","RJ","Resende",125214,3,20.70146119,79.6,3906,33.4
"BRA_RJ_Rio.de.Janeiro-Vila.Militar.868790_INMET","RJ","Rio de Janeiro",6476631,8,23.15115297,5.6,4800.2,296.3
"BRA_RJ_Teresopolis.868880_INMET","RJ","Teresopolis",173060,2,17.8371347,452.1,2863.9,0.3
"BRA_RJ_Valenca.868750_INMET","RJ","Valenca",73725,3,22.14452055,56.3,4432.8,154.9
"BRA_RN_Apodi.818350_INMET","RN","Apodi",36189,8,26.76208904,0,6118.2,1011.4
"BRA_RN_Caico.818750_INMET","RN","Caico",67259,7,27.77422374,0,6487.6,1378.8
"BRA_RN_Macau.818360_INMET","RN","Macau",31318,8,26.90243151,0,6169.4,1059.4
"BRA_RN_Mossoro.818340_INMET","RN","Mossoro",288162,7,26.71141553,0,6099.7,990.2
"BRA_RN_Natal.818390_INMET","RN","Natal",869954,8,26.90243151,0,6169.4,1059.4
"BRA_RN_Touros.818380_INMET","RN","Touros",33506,8,26.84059361,0,6146.8,1038.6
"BRA_RO_Ariquemes.819700_INMET","RO","Ariquemes",104401,8,25.63237443,0.3,5705.8,619.5
"BRA_RO_Cacoal.866220_INMET","RO","Cacoal",87226,8,26.14655251,0,5893.5,806
"BRA_RO_Porto.Velho.819320_INMET","RO","Porto Velho",502748,8,25.93243151,0,5815.3,724.6
"BRA_RO_Vilhena.866420_INMET","RO","Vilhena",91801,8,24.21474886,8.1,5188.4,276.9
"BRA_RR_Boa.Vista.816150_INMET","RR","Boa Vista",320714,8,27.01122146,0,6209.1,1100.9
"BRA_RS_Alegrete.869750_INMET","RS","Alegrete",78499,2,19.15522831,674.2,3374.1,168
"BRA_RS_Bage.839800_INMET","RS","Bage",121749,2,17.63134703,802.9,2825,49.4
"BRA_RS_Bento.Goncalves.869790_INMET","RS","Bento Goncalves",113287,1,17.1763242,781.6,2660,7.6
"BRA_RS_Cacapava.do.Sul.869860_INMET","RS","Cacapava do Sul",34654,2,17.59594749,780.4,2812.5,24.7
"BRA_RS_Camaqua.869890_INMET","RS","Camaqua",65835,2,17.92069635,721.1,2915,24.1
"BRA_RS_Canela.AP.869800_INMET","RS","Canela",42411,1,15.64268265,1152.4,2165.3,1.6
"BRA_RS_Cangucu.869930_INMET","RS","Cangucu",55801,2,16.24605023,1072.6,2371.3,4.4
"BRA_RS_Chui.869980_INMET","RS","Chui",6368,2,17.24181507,912.9,2675,27.7
"BRA_RS_Cruz.Alta.839120_INMET","RS","Cruz Alta",63776,2,18.57393836,625.4,3167.6,56.6
"BRA_RS_Erechim.869540_INMET","RS","Erechim",102345,2,17.45283105,706.9,2743,4.9
"BRA_RS_Frederico.Westphalen.869510_INMET","RS","Frederico Westphalen",30558,3,19.25374429,487.7,3406.1,58.6
"BRA_RS_Jaguarao.869960_INMET","RS","Jaguarao",28310,2,17.860879,787.1,2895,46.3
"BRA_RS_Lagoa.Vermelha.869650_INMET","RS","Lagoa Vermelha",28431,2,16.61941781,859.7,2465.8,1.8
"BRA_RS_Mostardas.839700_INMET","RS","Mostardas",12720,2,18.87122146,505.1,3242.2,12
"BRA_RS_Palmeira.das.Missoes.869530_INMET","RS","Palmeira das Missoes",34974,2,18.37181507,583.6,3093.9,24.9
"BRA_RS_Passo.Fundo.869630_INMET","RS","Passo Fundo",196739,2,17.50045662,709.5,2778.5,8.4
"BRA_RS_Porto.Alegre.869880_INMET","RS","Porto Alegre",1476867,3,20.02686073,361.9,3664.6,153.9
"BRA_RS_Quarai.869820_INMET","RS","Quarai",23579,2,19.05133562,735.6,3340.1,202.1
"BRA_RS_Rio.Pardo.869780_INMET","RS","Rio Pardo",38934,2,18.79203196,600.7,3229,73.5
"BRA_RS_Santa.Maria.839360_INMET","RS","Santa Maria",276108,2,19.04189498,589.9,3318.6,129.6
"BRA_RS_Santana.do.Livramento.839530_INMET","RS","Santana do Livramento",82968,2,17.5811758,878.8,2831.7,60.8
"BRA_RS_Santiago.869760_INMET","RS","Santiago",50635,2,18.62526256,728.6,3191.7,98.2
"BRA_RS_Santo.Augusto.869520_INMET","RS","Santo Augusto",14349,2,19.04808219,489.7,3316.3,70.6
"BRA_RS_Sao.Borja.869600_INMET","RS","Sao Borja",62990,2,20.6626484,445.6,3907.6,299.7
"BRA_RS_Sao.Gabriel.869840_INMET","RS","Sao Gabriel",62785,2,19.07505708,643.1,3334.3,148.1
"BRA_RS_Sao.Jose.dos.Ausentes.869670_INMET","RS","Sao Jose dos Ausentes",3470,1,13.8006621,1554.4,1490.4,0
"BRA_RS_Sao.Luiz.Gonzaga.869610_INMET","RS","Sao Luiz Gonzaga",35193,2,20.26398402,454.6,3765.1,211.3
"BRA_RS_Soledade.869640_INMET","RS","Soledade",31261,2,17.40107306,838.1,2760.5,16
"BRA_RS_Torres.869810_INMET","RS","Torres",37107,3,18.85308219,392.2,3232.3,12.3
"BRA_RS_Tramandai.869900_INMET","RS","Tramandai",46369,2,18.97011416,400.2,3276,12.8
"BRA_RS_Uruguaiana.869730_INMET","RS","Uruguaiana",129652,2,19.55009132,581.6,3514.3,206.4
"BRA_RS_Vacaria.869660_INMET","RS","Vacaria",64857,1,15.64365297,1119.2,2142.4,0
"BRA_SC_Ararangua.869710_INMET","SC","Ararangua",65769,2,19.36913242,427.6,3420.9,49.2
"BRA_SC_Cacador.869430_INMET","SC","Cacador",75812,2,16.46221461,848.7,2373.5,0
"BRA_SC_Curitibanos.AP.869560_INMET","SC","Curitibanos",39231,2,16.08818493,937.5,2246.9,0
"BRA_SC_Dionisio.Cerqueira.869360_INMET","SC","Dionisio Cerqueira",15339,2,19.20011416,507.5,3375.6,43.1
"BRA_SC_Florianopolis.838970_INMET","SC","Florianopolis",469690,3,20.91254566,148.3,3983.1,71.4
"BRA_SC_Indaial.838720_INMET","SC","Indaial",63489,3,19.95671233,263.2,3638.3,60.9
"BRA_SC_Itapoa.869470_INMET","SC","Itapoa",18137,5,19.94311644,224.2,3631.2,38.1
"BRA_SC_Ituporanga.869570_INMET","SC","Ituporanga",24061,2,18.15084475,652.4,2988.5,20.5
"BRA_SC_Joacaba-Santa.Terezinha.Muni.AP.869550_INMET","SC","Joacaba",29008,2,17.61929224,627.2,2795.5,2.3
"BRA_SC_Major.Vieira.869420_INMET","SC","Major Vieira",7899,2,16.9647032,817.5,2563.4,3.3
"BRA_SC_Novo.Horizonte.869380_INMET","SC","Novo Horizonte",2606,2,18.10191781,628,2983.7,15.7
"BRA_SC_Rio.Negrinho.869450_INMET","SC","Rio Negrinho",41602,3,16.40135845,870.7,2348.8,0.6
"BRA_SC_Santa.Marta.839250_INMET","SC","Laguna",44650,2,19.42950913,238.3,3441.8,8.7
"BRA_SC_Sao.Joaquim.869690_INMET","SC","Sao Joaquim",26247,1,13.63542237,1620.1,1424.8,0
"BRA_SC_Sao.Miguel.do.Oeste.AP.869370_INMET","SC","Sao Miguel do Oeste",38984,2,19.65262557,482.6,3560.4,120.4
"BRA_SC_Urubici.869680_INMET","SC","Urubici",11102,1,10.83398402,2615.6,646,0
"BRA_SC_Urussanga.869700_INMET","SC","Urussanga",21003,2,19.64513699,415.3,3525.8,93
"BRA_SC_Xanxere.869400_INMET","SC","Xanxere",48370,2,18.04,584.6,2954.9,9.9
"BRA_SE_Aracaju.866160_INMET","SE","Aracaju",632744,8,26.52906393,0,6033.1,928
"BRA_SE_Brejo.Grande.866180_INMET","SE","Brejo Grande",8218,8,26.30893836,0,5952.8,846.6
"BRA_SE_Carira.866150_INMET","SE","Carira",21484,8,24.17756849,0,5174.8,397.7
"BRA_SE_Itabaianinha.866380_INMET","SE","Itabaianinha",41404,8,24.60308219,0,5330.1,432.1
"BRA_SE_Poco.Verde.866140_INMET","SE","Poco Verde",23416,8,24.00705479,0,5112.6,368.2
"BRA_SP_Ariranha.868410_INMET","SP","Ariranha",9277,6,22.18728311,36,4448.4,134
"BRA_SP_Avare.869040_INMET","SP","Avare",88385,3,19.59372146,234.7,3502,19.1
"BRA_SP_Bauru.837220_INMET","SP","Bauru",366992,4,20.84113014,112.1,3957,46.9
"BRA_SP_Campinas.837210_INMET","SP","Campinas",1164098,3,22.04038813,49.6,4394.7,128.4
"BRA_SP_Campos.do.Jordao.868720_INMET","SP","Campos do Jordao",50852,1,15.31269406,1030,1950.1,0
"BRA_SP_Casa.Branca.868440_INMET","SP","Casa Branca",29877,4,21.3831621,54.4,4154.9,76.2
"BRA_SP_Franca.868180_INMET","SP","Franca",342112,4,20.96240868,51.9,4001.3,40.8
"BRA_SP_Ibitinga.868430_INMET","SP","Ibitinga",57649,3,21.91319635,47.9,4348.3,122.7
"BRA_SP_Iguape.869230_INMET","SP","Iguape",30390,5,21.103379,96.8,4052.7,101
"BRA_SP_Itapeva.837740_INMET","SP","Itapeva",92710,2,19.1084589,290.5,3324.6,10.6
"BRA_SP_Itapira.868690_INMET","SP","Itapira",72967,3,21.22389269,73.1,4096.7,59.9
"BRA_SP_Ituverava.868170_INMET","SP","Ituverava",40994,4,22.27479452,50.6,4480.3,123.5
"BRA_SP_Jales.868140_INMET","SP","Jales",48922,6,23.90901826,13.2,5076.8,347.7
"BRA_SP_Jose.Bonifacio.868390_INMET","SP","Jose Bonifacio",35538,6,22.91840183,24.6,4715.2,238.6
"BRA_SP_Lins.868400_INMET","SP","Lins",76092,3,22.82987443,26.1,4682.9,225
"BRA_SP_Ourinhos.868660_INMET","SP","Ourinhos",110282,3,20.91958904,133.3,3985.6,67.6
"BRA_SP_Piracicaba.868680_INMET","SP","Piracicaba",391449,2,20.91993151,103.4,3985.8,50.6
"BRA_SP_Presidente.Prudente.837160_INMET","SP","Presidente Prudente",222192,6,23.77913242,29.8,5029.4,414
"BRA_SP_Rancharia.868640_INMET","SP","Rancharia",29778,6,21.37754566,135.5,4153.8,115.6
"BRA_SP_Sao.Carlos.868450_INMET","SP","Sao Carlos",241389,4,20.28699772,131.7,3754.8,27.4
"BRA_SP_Sao.Luis.do.Paraitinga.869120_INMET","SP","Sao Luis do Paraitinga",10731,3,19.71097032,308.5,3544.5,28.9
"BRA_SP_Sao.Paulo.837810_INMET","SP","Sao Paulo",11967825,3,19.56762557,233.8,3492.2,20.5
"BRA_SP_Sorocaba.838510_INMET","SP","Sorocaba",644919,3,20.43783105,187.2,3810,40.1
"BRA_SP_Taubate.869110_INMET","SP","Taubate",302331,3,20.70429224,172.4,3907.1,62.1
"BRA_SP_Valparaiso.868380_INMET","SP","Valparaiso",24993,6,23.30864155,27.2,4857.7,298.7
"BRA_SP_Votuporanga.868150_INMET","SP","Votuporanga",91278,6,23.73343607,10.3,5012.7,317.6
"BRA_TO_Araguaina.819000_INMET","TO","Araguaina",170183,7,25.12849315,0,5521.9,432.3
"BRA_TO_Araguatins.818210_INMET","TO","Araguatins",34392,8,27.08803653,0,6237.1,1128.4
"BRA_TO_Dianopolis.866320_INMET","TO","Dianopolis",21167,7,24.21027397,0,5186.8,281.1
"BRA_TO_Formoso.do.Araguaia.866290_INMET","TO","Formoso do Araguaia",18742,7,26.63179224,0,6070.6,966.7
"BRA_TO_Gurupi.866300_INMET","TO","Gurupi",83707,7,25.84962329,0,5785.1,706.7
"BRA_TO_Palmas.866070_INMET","TO","Palmas",272726,7,26.82060502,0,6139.5,1034.3
"BRA_TO_Parana.866500_INMET","TO","Parana",10573,6,25.93256849,0,5815.4,731.7
"BRA_TO_Pedro.Afonso.819410_INMET","TO","Pedro Afonso",12900,7,26.3864726,0,5981.1,877.7
"BRA_TO_Peixe.866490_INMET","TO","Peixe",11340,7,25.91891553,0,5810.4,710.9
