"arquivo_climatico","uf","municipio","populacao","zbb","tbsm","hdd18","cdd10","cdd24"
"BRA_AP_Tartarugalzinho.816280_INMET","AP","Tartarugalzinho",15212,8,25.9922032,0,5837.2,729.7
"BRA_BA_Amargosa.AP.866750_INMET","BA","Amargosa",37807,8,23.17565068,0,4809.1,152.8
"BRA_BA_Barra.AP.866340_INMET","BA","Barra",54188,6,26.79222603,0,6129.2,1025.1
"BRA_BA_Barreiras.866520_INMET","BA","Barreiras",153918,7,25.12493151,0,5520.6,505.6
"BRA_BA_Belmonte.867440_INMET","BA","Belmonte",23759,8,23.78600457,0,5031.9,255.9
"BRA_BA_Bom.Jesus.da.Lapa.AP.866720_INMET","BA","Bom Jesus da Lapa",69526,6,26.24819635,0,5930.6,858.2
"BRA_BA_Brumado.866960_INMET","BA","Brumado",69255,5,25.1665411,0,5535.8,620
"BRA_BA_Buritirama.AP.866090_INMET","BA","Buritirama",21549,6,25.43762557,0,5634.7,618.7
"BRA_BA_Caravelas.834970_INMET","BA","Caravelas",22548,8,25.02063927,0,5482.5,504.2
"BRA_BA_Conde.866390_INMET","BA","Conde",26194,8,25.9344863,0,5816.1,726.2
"BRA_BA_Correntina.866710_INMET","BA","Correntina",33183,6,23.82134703,0,5044.8,278.1
"BRA_BA_Cruz.das.Almas.866570_INMET","BA","Cruz das Almas",64197,8,23.92334475,0,5082,306.6
"BRA_BA_Delfino.866100_INMET","BA","Umburanas",19055,5,23.84319635,0,5052.8,231.5
"BRA_BA_Euclides.da.Cunha.866130_INMET","BA","Euclides da Cunha",60666,7,24.10829909,0,5149.5,427.2
"BRA_BA_Feira.de.Santana.866580_INMET","BA","Feira de Santana",617528,8,24.59780822,0,5328.2,488.8
"BRA_BA_Guanambi.AP.866940_INMET","BA","Guanambi",85797,6,25.65214612,0,5713,685.5
"BRA_BA_Ibotirama.866530_INMET","BA","Ibotirama",27655,7,26.73187215,0,6107.1,1012.8
"BRA_BA_Ilheus.866990_INMET","BA","Ilheus",180213,8,23.44860731,0,4908.7,162.4
"BRA_BA_Ipiau.866980_INMET","BA","Ipiau",47501,8,24.56248858,0,5315.3,385.8
"BRA_BA_Irece.AP.866350_INMET","BA","Irece",73380,6,23.94525114,0,5090,251.2
"BRA_BA_Itaberaba.832440_INMET","BA","Itaberaba",66310,8,24.92978311,0,5449.4,506.2
"BRA_BA_Itapetinga.867230_INMET","BA","Itapetinga",76184,5,24.67423516,0,5356.1,481.6
"BRA_BA_Itirucu.866740_INMET","BA","Itirucu",13307,5,21.06037671,34.6,4037,9.4
"BRA_BA_Jacobina.866360_INMET","BA","Jacobina",84811,8,24.36237443,0,5242.3,357.7
"BRA_BA_Lencois.866540_INMET","BA","Lencois",11445,8,24.85493151,0,5422.1,480.2
"BRA_BA_Macajuba.866550_INMET","BA","Macajuba",11837,8,24.05605023,0,5130.5,329.3
"BRA_BA_Marau.866770_INMET","BA","Marau",21175,8,25.67393836,0,5721,651
"BRA_BA_Paulo.Afonso.829860_INMET","BA","Paulo Afonso",119214,7,26.32472603,0,5958.5,926.2
"BRA_BA_Piata.866730_INMET","BA","Piata",18473,5,19.79696347,71.1,3575.9,0
"BRA_BA_Porto.Seguro.867450_INMET","BA","Porto Seguro",145431,8,23.74295662,0,5016.2,236.5
"BRA_BA_Queimadas.866120_INMET","BA","Queimadas",26083,8,26.1327968,0,5888.5,855.8
"BRA_BA_Remanso.829790_INMET","BA","Remanso",42275,7,26.81585616,0,6137.8,1032.9
"BRA_BA_Salvador.866780_INMET","BA","Salvador",2921087,8,25.86309361,0,5790,695.6
"BRA_BA_Santa.Rita.de.Cassia.866330_INMET","BA","Santa Rita de Cassia",28822,6,26.05268265,0,5859.2,788.2
"BRA_BA_Senhor.do.Bonfim.830880_INMET","BA","Senhor do Bonfim",81330,7,23.85422374,0,5056.8,330.9
"BRA_BA_Serrinha.866370_INMET","BA","Serrinha",83275,8,24.14803653,0,5164,421.5
"BRA_BA_Uaua.819920_INMET","BA","Uaua",25087,6,25.40560502,0,5623,638
"BRA_BA_Una.867240_INMET","BA","Una",22105,8,24.15445205,0,5166.4,273.7
"BRA_BA_Valenca.866760_INMET","BA","Valenca",97305,8,24.20535388,0,5185,276.9
"BRA_BA_Vitoria.da.Conquista-Figueiredo.AP.866970_INMET","BA","Vitoria da Conquista",343230,5,20.59972603,39.1,3868.9,3.9
"BRA_CE_Acarau.817550_INMET","CE","Acarau",61210,8,26.60207763,0,6059.8,951.1
"BRA_CE_Barbalha.819110_INMET","CE","Barbalha",58855,7,25.59280822,0,5691.4,607
"BRA_CE_Campos.Sales.827770_INMET","CE","Campos Sales",27123,7,24.86718037,0,5426.5,465.4
