agencia,municipio,uf,area,consumo
caixa,SAO RAIMUNDO NONATO,PI,347.6,156568
caixa,CONSELHEIRO PENA,MG,348,93200
caixa,JACIARA,MT,348,98280
caixa,IRACEMAPOLIS,SP,349.6,91120
caixa,MACEIO,AL,350,102887
caixa,OEIRAS,PI,350,153090
caixa,CABEDELO,PB,350,124398
caixa,IUNA,ES,350.2,55364
caixa,LAJEDO,PE,350.8,111497
caixa,RIO DE JANEIRO,RJ,352.4,101200
caixa,MORRETES,PR,352.6,75738
caixa,AGUDOS,SP,352.7,91730
caixa,BAIXO GUANDU,ES,353,111366
caixa,SIQUEIRA CAMPOS,PR,353,76849
caixa,MACAPA,AP,353.6,140589
caixa,NOVA FRIBURGO,RJ,353.7,72107
caixa,BROTAS,SP,355,87398
caixa,FELIZ,RS,355.1,59289
caixa,CASCA,RS,355.4,71905
caixa,RECIFE,PE,355.5,56533
caixa,NATIVIDADE,RJ,356.1,90880
caixa,SANTO ANTONIO DE PADUA,RJ,356.2,154120
caixa,SOCORRO,SP,357,76252
caixa,NOVO HAMBURGO,RS,358.2,35499
caixa,PITANGUEIRAS,SP,358.4,114281
caixa,SAO SIMAO,SP,358.5,77190
caixa,MATOZINHOS,MG,359.3,91290
caixa,ILHABELA,SP,359.7,73980
caixa,QUIXADA,CE,359.7,140677
caixa,LAGOA VERMELHA,RS,359.8,61912
caixa,MONTE AZUL PAULISTA,SP,360,100245
caixa,MUCUM,RS,360,64697
caixa,NAO-ME-TOQUE,RS,360,73449
caixa,CAXIAS DO SUL,RS,360,30737
caixa,CAMPO MAIOR,PI,361,172733
caixa,IVINHEMA,MS,362.7,98760
caixa,CASTRO ALVES,BA,363,101305
caixa,RIO DE JANEIRO,RJ,364,123040
caixa,RIO DE JANEIRO,RJ,364,146000
caixa,SAO PAULO,SP,364.3,74456
caixa,CAMPANHA,MG,364.7,73210
caixa,VENDA NOVA DO IMIGRANTE,ES,365,66117
caixa,JACUTINGA,MG,365,65920
caixa,MIMOSO DO SUL,ES,365.3,96327
caixa,CRAVINHOS,SP,365.9,91700
caixa,MUZAMBINHO,MG,366,52774
caixa,GIRUA,RS,367.5,55912
caixa,JAGUAQUARA,BA,370,80018
caixa,INHAPIM,MG,371.2,66734
caixa,CAXAMBU,MG,371.3,81960
caixa,SAO PAULO,SP,371.7,34375
caixa,SAO PAULO,SP,371.7,12675
caixa,SAO PAULO,SP,371.7,16652
caixa,SAO PAULO,SP,371.7,33667
caixa,PIRAJU,SP,371.7,97680
caixa,CASCAVEL,CE,372.3,154638
caixa,RIO DE JANEIRO,RJ,373.8,113440
caixa,CRISSIUMAL,RS,375,61412
caixa,HORIZONTINA,RS,375,64187
caixa,SURUBIM,PE,375.4,162395
caixa,BELO HORIZONTE,MG,376.7,46740
caixa,MARILIA,SP,377,248460
caixa,BARRA DO BUGRES,MT,377.2,127377
caixa,BORDA DA MATA,MG,377.7,38440
caixa,CALDAS,MG,378,60211
caixa,NOVO HORIZONTE,SP,379.7,109676
caixa,AREIA,PB,380,128179
caixa,PARAGUACU PAULISTA,SP,381.3,95378
caixa,SANTO CRISTO,RS,381.8,97903
caixa,CORRENTE,PI,382.3,68034
caixa,SANTA MARIA,RS,384.2,28490
caixa,SERTANIA,PE,384.6,89612
caixa,CONSTANTINA,RS,386.8,68542
caixa,FOZ DO IGUACU,PR,386.9,125668
caixa,ITAPEMIRIM,ES,387.3,113359
caixa,IBICARAI,BA,387.7,82237
caixa,MONTE ALEGRE DE MINAS,MG,388.3,91000
caixa,SANTO AMARO,BA,389.3,147370
caixa,RIO DE JANEIRO,RJ,390,175200
caixa,MACEIO,AL,391.9,192845
caixa,SAO JOSE DOS CAMPOS,SP,392.2,44838
caixa,PARAIBA DO SUL,RJ,392.3,92240
caixa,PORTO CALVO,AL,392.5,118493
caixa,RIO DE JANEIRO,RJ,393,140200
caixa,SAO LUIS DE MONTES BELOS,GO,393.3,119257
caixa,SEARA,SC,394.1,59718
caixa,BASTOS,SP,394.1,90680
caixa,PALMITOS,SC,394.8,67533
caixa,PEREIRA BARRETO,SP,396,114600
caixa,SANTA HELENA,PR,398.5,97904
caixa,JOAO PINHEIRO,MG,400,124160
caixa,ITAOCARA,RJ,400.5,134440
caixa,PORTO NACIONAL,TO,401.7,116766
caixa,IBIA,MG,403,52523
caixa,SAO MIGUEL DOS CAMPOS,AL,404,228958.5
caixa,CONGONHAS,MG,404.6,121000
caixa,JULIO DE CASTILHOS,RS,404.8,48508
caixa,RIO LARGO,AL,405.1,138147
caixa,TIANGUA,CE,405.9,109526
caixa,SENADOR CANEDO,GO,406,108452
caixa,ELOI MENDES,MG,408,87040
caixa,JOAO CAMARA,RN,408,135043
caixa,MONTE SIAO,MG,408.4,85600
caixa,PORTO ALEGRE,RS,409.4,102840
caixa,SAO MATEUS DO SUL,PR,409.5,72708
caixa,CAMPINAS DO SUL,RS,410,50006
caixa,SAO PEDRO DO SUL,RS,410,71448
caixa,JUNDIAI,SP,410.6,65103
caixa,PARAGUACU,MG,411,71491
caixa,LAPA,PR,411.3,80355
caixa,UNIAO DOS PALMARES,AL,411.8,144991
caixa,JACUPIRANGA,SP,414,57480
caixa,TUPACIGUARA,MG,414.3,118800
caixa,DIONISIO CERQUEIRA,SC,414.9,67434
caixa,CACAPAVA DO SUL,RS,415,65202
caixa,ITAU DE MINAS,MG,415,65520
caixa,SAO PAULO,SP,415.3,84829
caixa,PASSO FUNDO,RS,415.9,34655
caixa,DOURADOS,MS,416.9,61360
caixa,ARARAS,SP,418.1,212989
caixa,SAO MIGUEL DO ARAGUAIA,GO,418.3,123494
caixa,WENCESLAU BRAZ,PR,422.1,70465
caixa,SILVANIA,GO,422.4,74865
caixa,JOAO NEIVA,ES,422.4,84560
caixa,TRINDADE,GO,422.5,125809
caixa,SAO PAULO,SP,423.4,77311
caixa,TRES PONTAS,MG,426,97480
caixa,CLAUDIO,MG,427,80360
caixa,NOVA ERA,MG,427.1,79200
caixa,ZE DOCA,MA,427.5,154112
caixa,REDENCAO,PA,429.8,160999
caixa,PELOTAS,RS,430,43298
caixa,PRADOPOLIS,SP,430,102214
caixa,RIO DAS PEDRAS,SP,430,79120
caixa,TRES COROAS,RS,430,75924
caixa,RIO DE JANEIRO,RJ,433.2,39846
caixa,SANTA ROSA DE VITERBO,SP,434,100946
caixa,PALMAS,PR,434.6,94229
caixa,BARRA DO CORDA,MA,435.3,177670
caixa,CASCAVEL,PR,437,53791
caixa,ELDORADO DO SUL,RS,438,73695
caixa,TRIUNFO,RS,438.4,74821
caixa,SAO JOAO BATISTA,SC,438.4,84454
caixa,SAO MARCOS,RS,440.9,61005
caixa,ORLEANS,SC,441.1,67150
caixa,MACHADO,MG,441.5,97480
caixa,VITORIA,ES,442.5,139264
caixa,ENCANTADO,RS,442.7,97180
caixa,SANTA MARIA,RS,442.7,45096
caixa,PORTO ALEGRE,RS,443,131580
caixa,ITAITUBA,PA,443,137137
caixa,SAO LUIZ GONZAGA,RS,443,95756
caixa,SANTO ANTONIO DA PATRULHA,RS,443.5,88108
caixa,ITABAIANA,PB,444,174867
caixa,MORRO AGUDO,SP,444.4,109630
caixa,SANTA CRUZ DO CAPIBARIBE,PE,444.6,126659
caixa,DIAS D'AVILA,BA,445,103830
caixa,RUSSAS,CE,446,132984
caixa,BREJO SANTO,CE,446.2,133727
caixa,JOAO PESSOA,PB,446.2,116770
caixa,TORITAMA,PE,446.5,120488
caixa,MARIALVA,PR,446.8,105278
caixa,DESCALVADO,SP,446.8,121207
caixa,ITAQUI,RS,447.1,93990
caixa,CUIABA,MT,448,157096
caixa,COLINA,SP,449.1,118390
caixa,CURITIBA,PR,449.2,45854
caixa,QUIRINOPOLIS,GO,449.8,135010
caixa,TANGARA DA SERRA,MT,449.9,196946
caixa,GUAIRA,SP,450,108358
caixa,PINHEIRO,MA,450,216311
caixa,CODO,MA,451.5,120226
caixa,TAQUARA,RS,452.3,101716
caixa,RIO GRANDE,RS,452.4,260073
caixa,MUQUI,ES,453,68791
caixa,CAMPOS NOVOS,SC,454.3,69900
caixa,SANTA RITA,PB,454.3,174906
caixa,SAO PAULO,SP,454.4,43626
caixa,SAO PAULO,SP,454.4,74820
caixa,SANTO ANTONIO DO MONTE,MG,456.1,85680
caixa,SANTA VITORIA,MG,456.4,133720
caixa,NOVA CRUZ,RN,456.5,199116
caixa,SANTA CRUZ,RN,456.5,196055
caixa,TOBIAS BARRETO,SE,456.7,113960
caixa,DIAMANTINO,MT,456.7,77416
caixa,OSVALDO CRUZ,SP,456.9,74445
caixa,CASSIA,MG,457.1,82320
caixa,DOIS IRMAOS,RS,457.8,80906
caixa,CUIABA,MT,459.3,203069
caixa,PARAISO DO TOCANTINS,TO,459.5,159575
caixa,BRASILIA,DF,460,102700
caixa,PINDORAMA,SP,460.3,117646
caixa,NOVA FRIBURGO,RJ,460.7,90554
caixa,BOITUVA,SP,461,90965
caixa,MARAVILHA,SC,461.5,79921
caixa,VITORIA,ES,462,126360
caixa,SAO GOTARDO,MG,462.2,74520
caixa,ESPLANADA,BA,462.4,124198
caixa,SALVADOR,BA,462.7,133658
caixa,RANCHARIA,SP,463,112280
caixa,OURO BRANCO,MG,464,77600
caixa,CAMETA,PA,466.2,96668
caixa,SANTA BARBARA,MG,470,109834
caixa,SERRANA,SP,470.6,108973
caixa,DELMIRO GOUVEIA,AL,470.9,135540
caixa,CANINDE,CE,471.2,155557
caixa,GUANHAES,MG,471.6,119000
caixa,ACARAU,CE,472.2,125449
caixa,ICO,CE,473.2,176528
caixa,GOIAS,GO,474.2,160840
caixa,CACHOEIRA,BA,477,118120
caixa,RIALMA,GO,479.5,125808
caixa,INHUMAS,GO,480,114295
caixa,SAO LOURENCO DO OESTE,SC,480,72710
caixa,MORADA NOVA,CE,480,119677
caixa,PACO DO LUMIAR,MA,480,138587
caixa,NOVA ESPERANCA,PR,480.3,114475
caixa,MIRANDOPOLIS,SP,481.3,116320
caixa,IPOJUCA,PE,482,137078
caixa,RIO DE JANEIRO,RJ,482.3,157760
caixa,PINHALZINHO,SC,484,94044
caixa,SAO PAULO,SP,485.1,70987
caixa,SACRAMENTO,MG,485.7,100040
caixa,COLORADO,PR,485.8,100167
caixa,ARACAJU,SE,486.6,222999
caixa,SAO FRANCISCO,MG,486.8,173160
caixa,RAUL SOARES,MG,486.9,101120
caixa,CATU,BA,488,143225
caixa,CANGUCU,RS,488.5,68363
caixa,RIO DE JANEIRO,RJ,488.9,117440
caixa,SAO PAULO,SP,489,175488
caixa,ESPERA FELIZ,MG,489.7,109400
caixa,SALGUEIRO,PE,489.8,162325
caixa,ESPERANCA,PB,489.9,130504
caixa,RIO DE JANEIRO,RJ,490,191120
caixa,CARLOS BARBOSA,RS,490,74543
caixa,SANTA RITA DO PASSA QUATRO,SP,490.1,125280
caixa,PERDOES,MG,490.2,126520
caixa,COLIDER,MT,490.3,152286
caixa,SANTA CRUZ DAS PALMEIRAS,SP,490.8,106675
caixa,OSORIO,RS,491,142616
caixa,MARIANA,MG,492.8,110880
caixa,CURRAIS NOVOS,RN,493.2,155997
caixa,CARANDAI,MG,495,123400
caixa,ALTO ARAGUAIA,MT,495,105829
caixa,DOM PEDRITO,RS,495.2,82568
caixa,CUIABA,MT,495.6,280267
caixa,TUPANCIRETA,RS,495.7,79695
caixa,BALSAS,MA,496,152778
caixa,BRUMADO,BA,497.5,164571
caixa,DIVINOPOLIS,MG,498.1,108947
caixa,SAO PAULO,SP,499,75035
caixa,SAO SEBASTIAO DO CAI,RS,499.3,70012
caixa,JANDIRA,SP,500,125610
caixa,CERQUILHO,SP,500,103360
caixa,MATINHOS,PR,500,105930
caixa,ROCA SALES,RS,500,61909
caixa,AMAMBAI,MS,500,118624
caixa,CONFRESA,MT,500,148432
caixa,SAO JOSE DO CEDRO,SC,500,68508
caixa,PORTO ALEGRE,RS,500,67360
caixa,BATATAIS,SP,500.6,188640
caixa,PINDAMONHANGABA,SP,500.9,149770
caixa,SAO JOSE DO RIO PRETO,SP,504,95129
caixa,SAO PAULO,SP,504.8,198135
caixa,IBIRUBA,RS,506.4,90539
caixa,CASCAVEL,PR,506.7,71060
caixa,VITORIA,ES,508,155570
caixa,GOVERNADOR VALADARES,MG,508.7,147880
caixa,SANTA TERESA,ES,509,74398
caixa,SEROPEDICA,RJ,510.1,135120
caixa,TERESINA,PI,510.3,99242.5
caixa,ALTA FLORESTA D'OESTE,RO,511.4,126836
caixa,FLORIANOPOLIS,SC,511.6,52350
caixa,EUCLIDES DA CUNHA,BA,512,136423
caixa,NEPOMUCENO,MG,512,80480
caixa,BARIRI,SP,512.4,119100
caixa,NITEROI,RJ,514,142270
caixa,PIMENTA BUENO,RO,514.2,178589
caixa,JOINVILLE,SC,514.3,122912
caixa,FOZ DO IGUACU,PR,515,88375
caixa,CONCEICAO DO COITE,BA,516,104394
caixa,IPIRA,BA,516.8,133761
caixa,SALVADOR,BA,517.3,195532
caixa,CORUPA,SC,517.7,83522
caixa,UBAITABA,BA,518.5,97199
caixa,SAO PAULO,SP,518.7,89308
caixa,CRATO,CE,519,263340
caixa,SAO PAULO,SP,519.7,107269
caixa,CAETE,MG,520,69400
caixa,IGUATU,CE,520,238353
caixa,PIRAI,RJ,520.3,104720
caixa,PIRAJUI,SP,522.2,137288
caixa,BRASILIA,DF,522.7,140435
caixa,IGUAPE,SP,523.4,119913
caixa,SAO JOSE DOS CAMPOS,SP,523.8,148990
caixa,PORTO ALEGRE,RS,523.8,99630
caixa,SAQUAREMA,RJ,524,166968
caixa,JOINVILLE,SC,525,103456
caixa,VIANA,MA,525,169561
caixa,BRASILIA,DF,525,169945
caixa,GUARARAPES,SP,526.4,112995
caixa,CAMPO NOVO DO PARECIS,MT,526.5,119824.5
caixa,BELO HORIZONTE,MG,527.1,42840
caixa,PRESIDENTE DUTRA,MA,528,176439
