ghr,hvac,lights,boundaries,envelope,shgc,building,afn,total_hvac_light_cons
3495,vrf,9.9,outdoors,2.5,0.3,90,sem,31008.68
3495,vrf,9.9,outdoors,2.5,0.3,180,com,29789.9
3495,vrf,9.9,outdoors,2.5,0.3,180,sem,31463.1
3495,vrf,9.9,outdoors,2.5,0.3,270,com,29799.49
3495,vrf,9.9,outdoors,2.5,0.3,270,sem,31297.89
3495,vrf,9.9,adiabatic,2.5,0.3,90,sem,30933.17
3495,vrf,9.9,outdoors,2.5,0.7,0,com,29841.9
3495,vrf,9.9,outdoors,2.5,0.7,0,sem,31386.46
3495,vrf,9.9,outdoors,2.5,0.7,90,com,30283.71
3495,vrf,9.9,outdoors,2.5,0.7,90,sem,31991.23
3495,vrf,9.9,outdoors,2.5,0.7,180,com,30728.33
3495,vrf,9.9,outdoors,2.5,0.7,180,sem,32718.82
3495,vrf,9.9,outdoors,2.5,0.7,270,com,30686.72
3495,vrf,9.9,outdoors,2.5,0.7,270,sem,32471.7
3495,vrf,9.9,outdoors,3.7,0.3,0,com,29471.56
3495,vrf,9.9,outdoors,3.7,0.3,0,sem,30882.34
3495,vrf,9.9,adiabatic,2.5,0.3,180,com,30574.52
3495,vrf,9.9,outdoors,3.7,0.3,90,com,29686.13
3495,vrf,9.9,outdoors,3.7,0.3,90,sem,31199.72
3495,vrf,9.9,outdoors,3.7,0.3,180,com,29845.05
3495,vrf,9.9,outdoors,3.7,0.3,180,sem,31557.46
3495,vrf,9.9,outdoors,3.7,0.3,270,com,29836.93
3495,vrf,9.9,outdoors,3.7,0.3,270,sem,31410.07
3495,vrf,9.9,outdoors,3.7,0.7,0,com,30004.3
3495,vrf,9.9,outdoors,3.7,0.7,0,sem,31690.97
3495,vrf,9.9,outdoors,3.7,0.7,90,com,30418.02
3495,vrf,9.9,outdoors,3.7,0.7,90,sem,32233.63
3495,vrf,9.9,adiabatic,2.5,0.3,180,sem,30999.95
3495,vrf,9.9,outdoors,3.7,0.7,180,com,30821.7
3495,vrf,9.9,outdoors,3.7,0.7,180,sem,32859.11
3495,vrf,9.9,outdoors,3.7,0.7,270,com,30769.04
3495,vrf,9.9,outdoors,3.7,0.7,270,sem,32646.84
3495,vrf,23.6,adiabatic,2.5,0.3,0,com,57972.58
3495,vrf,23.6,adiabatic,2.5,0.3,0,sem,58912.32
3495,vrf,23.6,adiabatic,2.5,0.3,90,com,58049.27
3495,vrf,23.6,adiabatic,2.5,0.3,90,sem,58987.68
3495,vrf,23.6,adiabatic,2.5,0.3,180,com,58056.72
3495,vrf,23.6,adiabatic,2.5,0.3,180,sem,59067.08
3495,vrf,9.9,adiabatic,2.5,0.3,270,com,30437.1
3495,vrf,23.6,adiabatic,2.5,0.3,270,com,57925.46
3495,vrf,23.6,adiabatic,2.5,0.3,270,sem,58945.38
3495,vrf,23.6,adiabatic,2.5,0.7,0,com,58208.67
3495,vrf,23.6,adiabatic,2.5,0.7,0,sem,59216.44
3495,vrf,23.6,adiabatic,2.5,0.7,90,com,58361.67
3495,vrf,23.6,adiabatic,2.5,0.7,90,sem,59382.45
3495,vrf,23.6,adiabatic,2.5,0.7,180,com,58486.78
3495,vrf,23.6,adiabatic,2.5,0.7,180,sem,59622.33
3495,vrf,23.6,adiabatic,2.5,0.7,270,com,58315.76
3495,vrf,23.6,adiabatic,2.5,0.7,270,sem,59436.7
3495,vrf,9.9,adiabatic,2.5,0.3,270,sem,30856.7
3495,vrf,23.6,adiabatic,3.7,0.3,0,com,56565.07
3495,vrf,23.6,adiabatic,3.7,0.3,0,sem,57930.27
3495,vrf,23.6,adiabatic,3.7,0.3,90,com,56663.75
3495,vrf,23.6,adiabatic,3.7,0.3,90,sem,58049.1
3495,vrf,23.6,adiabatic,3.7,0.3,180,com,56712.15
3495,vrf,23.6,adiabatic,3.7,0.3,180,sem,58203.97
3495,vrf,23.6,adiabatic,3.7,0.3,270,com,56649.7
3495,vrf,23.6,adiabatic,3.7,0.3,270,sem,58099.45
3495,vrf,23.6,adiabatic,3.7,0.7,0,com,56917.04
3495,vrf,23.6,adiabatic,3.7,0.7,0,sem,58412.13
3495,vrf,9.9,adiabatic,2.5,0.7,0,com,30691.31
3495,vrf,23.6,adiabatic,3.7,0.7,90,com,57120.64
3495,vrf,23.6,adiabatic,3.7,0.7,90,sem,58646.49
3495,vrf,23.6,adiabatic,3.7,0.7,180,com,57331.33
3495,vrf,23.6,adiabatic,3.7,0.7,180,sem,58995.85
3495,vrf,23.6,adiabatic,3.7,0.7,270,com,57239.9
3495,vrf,23.6,adiabatic,3.7,0.7,270,sem,58848.96
3495,vrf,23.6,outdoors,2.5,0.3,0,com,58623.3
3495,vrf,23.6,outdoors,2.5,0.3,0,sem,60719.73
3495,vrf,23.6,outdoors,2.5,0.3,90,com,58927.83
3495,vrf,23.6,outdoors,2.5,0.3,90,sem,61025.61
