"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","cdh","targ"
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,72063,152.5
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,23.92453125,0.63284375,72063,192.9
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.61334375,72063,152.4
2,2,979.296875,19.157421875,191.334375,1,3.863203125,1,13.37421875,0.63284375,25960,132.7
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,190.9
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,190.9
2,2,979.296875,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,179.7
2,2,319.140625,19.157421875,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,190.7
2,2,319.140625,18.639453125,191.334375,1,3.235546875,1,23.92453125,0.61334375,25960,186.3
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,190.9
2,2,319.140625,18.639453125,37.771875,1,3.863203125,1,23.92453125,0.61334375,25960,184.9
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,190.9
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,13.37421875,0.61334375,25960,151.5
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.63284375,25960,191
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,72063,218.4
2,2,319.140625,18.639453125,37.771875,1,3.235546875,1,23.92453125,0.61334375,25960,190.9
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,182.3
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,182.3
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,182.3
1,4,839.140625,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,176.3
1,4,459.296875,10.839453125,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,182.9
1,4,459.296875,11.357421875,224.971875,2,5.423203125,2,20.65421875,0.42484375,28895,182
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,182.3
1,4,459.296875,11.357421875,4.134375,2,4.795546875,2,20.65421875,0.42484375,28895,185.8
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,28895,182.3
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,16.64453125,0.42484375,28895,167.3
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.40534375,28895,182.2
1,4,459.296875,11.357421875,4.134375,2,5.423203125,2,20.65421875,0.42484375,69205,206.4
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,188.5
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,188.5
1,4,459.296875,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,196.8
1,4,839.140625,11.357421875,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,187.9
1,4,839.140625,10.839453125,4.134375,2,4.795546875,2,16.64453125,0.40534375,69205,189.4
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,188.5
1,4,839.140625,10.839453125,224.971875,2,5.423203125,2,16.64453125,0.40534375,69205,182.6
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,188.5
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,20.65421875,0.40534375,69205,203.9
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.42484375,69205,188.6
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,28895,164.7
1,4,839.140625,10.839453125,224.971875,2,4.795546875,2,16.64453125,0.40534375,69205,188.5
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,233.6
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,233.6
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,233.6
1,2,969.140625,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,209
1,2,329.296875,8.889453125,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,234.5
1,2,329.296875,9.407421875,271.771875,2,4.253203125,1,15.19421875,0.58084375,82833,234.7
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,233.6
1,2,329.296875,9.407421875,50.934375,2,5.185546875,1,15.19421875,0.58084375,82833,218.7
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,82833,233.6
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,18.46453125,0.58084375,82833,246.1
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.56134375,82833,233.5
1,2,329.296875,9.407421875,50.934375,2,4.253203125,1,15.19421875,0.58084375,58489,227.8
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,205.5
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,205.5
1,2,329.296875,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,228.5
1,2,969.140625,9.407421875,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,204.6
1,2,969.140625,8.889453125,50.934375,2,5.185546875,1,18.46453125,0.56134375,58489,204.9
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,205.5
1,2,969.140625,8.889453125,271.771875,2,4.253203125,1,18.46453125,0.56134375,58489,217.6
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,205.5
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,15.19421875,0.56134375,58489,193.3
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.58084375,58489,205.6
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,82833,209.3
1,2,969.140625,8.889453125,271.771875,2,5.185546875,1,18.46453125,0.56134375,58489,205.5
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,160
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,160
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,160
2,4,449.140625,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,164.8
2,4,849.296875,16.689453125,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,160.2
2,4,849.296875,17.207421875,84.571875,1,5.813203125,2,22.47421875,0.37284375,40016,160.4
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,160
2,4,849.296875,17.207421875,238.134375,1,3.625546875,2,22.47421875,0.37284375,40016,171.3
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.37284375,40016,160
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,11.18453125,0.37284375,40016,120.3
2,4,849.296875,17.207421875,238.134375,1,5.813203125,2,22.47421875,0.35334375,40016,160
