"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","epw","targ"
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,35,183.443854213814
"split","smart",579.140625,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,35,185.840905062583
"split","smart",719.296875,6.939453125,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,35,195.556805663997
"split","smart",719.296875,15.257421875,131.371875,"outdoors",3.083203125,"light",17.01421875,0.32084375,35,183.251009852552
"split","smart",719.296875,15.257421875,97.734375,"outdoors",4.015546875,"light",17.01421875,0.32084375,35,172.347940542573
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",20.28453125,0.32084375,35,196.544500322648
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.50934375,35,184.976845192491
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,226,199.358023016928
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,226,212.57155800962
"split","smart",719.296875,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,226,209.794364472925
"split","smart",579.140625,15.257421875,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,226,201.037988533507
"split","smart",579.140625,6.939453125,97.734375,"outdoors",4.015546875,"light",20.28453125,0.50934375,226,212.804737275758
"split","smart",579.140625,6.939453125,131.371875,"outdoors",3.083203125,"light",20.28453125,0.50934375,226,229.199698735743
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",17.01421875,0.50934375,226,199.888615448999
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.32084375,226,211.690488375206
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,35,199.664890810326
"vrf","inter",199.296875,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,241,161.22738421177
"vrf","inter",1099.140625,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,241,139.147278904908
"vrf","inter",199.296875,14.739453125,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,241,151.794369442445
