ghr,log_ghr,area,hvac,lights,boundaries,envelope,shgc,azimuth,afn,atm_hvac_cons,atm_light_cons,atm_hvac_light_cons,atm_equip_cons,atm_cons,office_hvac_light_cons,office_equip_cons,office_cons,total_hvac_light_cons,total_equip_cons,total_cons,total_cons_area
3495,3.5,600,1,9.9,1,2.5,0.3,1,1,402.82,583.5,986.315239242292,2862.47,3848.79,29519.59,39869.73,69389.32,30505.91,42732.2,73238.11,122.06
3495,3.5,600,1,23.6,2,2.5,0.3,3,1,715.94,1391.07,2107.00729580914,2862.47,4969.48,57176.45,39869.73,97046.18,59283.46,42732.2,102015.66,170.03
3495,3.5,600,1,23.6,2,2.5,0.3,3,0,723.07,1391.07,2114.1398899738,2862.47,4976.61,59331.03,39869.73,99200.76,61445.17,42732.2,104177.37,173.63
3495,3.5,600,1,23.6,2,2.5,0.3,4,1,705.23,1391.07,2096.29927452029,2862.47,4958.77,57091.73,39869.73,96961.46,59188.03,42732.2,101920.23,169.87
3495,3.5,600,1,23.6,2,2.5,0.3,4,0,713.63,1391.07,2104.69658748871,2862.47,4967.17,59206.91,39869.73,99076.64,61311.61,42732.2,104043.81,173.41
3495,3.5,600,1,23.6,2,2.5,0.7,1,1,696.75,1391.07,2087.82190602417,2862.47,4950.29,57170.95,39869.73,97040.68,59258.77,42732.2,101990.97,169.98
3495,3.5,600,1,23.6,2,2.5,0.7,1,0,704.9,1391.07,2095.96555663542,2862.47,4958.44,59270.54,39869.73,99140.27,61366.51,42732.2,104098.71,173.5
3495,3.5,600,1,23.6,2,2.5,0.7,2,1,724.24,1391.07,2115.30595857342,2862.47,4977.78,57631.79,39869.73,97501.52,59747.1,42732.2,102479.3,170.8
3495,3.5,600,1,23.6,2,2.5,0.7,2,0,731.38,1391.07,2122.44585387751,2862.47,4984.92,59670.28,39869.73,99540.01,61792.73,42732.2,104524.93,174.21
3495,3.5,600,1,23.6,2,2.5,0.7,3,1,757.94,1391.07,2149.01477474634,2862.47,5011.48,58197.01,39869.73,98066.74,60346.02,42732.2,103078.22,171.8
3495,3.5,600,1,23.6,2,2.5,0.7,3,0,762.68,1391.07,2153.75209362924,2862.47,5016.22,60230.42,39869.73,100100.15,62384.17,42732.2,105116.37,175.19
3495,3.5,600,1,9.9,1,2.5,0.7,2,1,477.74,583.5,1061.23796693887,2862.47,3923.71,29768.92,39869.73,69638.65,30830.16,42732.2,73562.36,122.6
3495,3.5,600,1,23.6,2,2.5,0.7,4,1,747.33,1391.07,2138.40411113954,2862.47,5000.87,58038.76,39869.73,97908.49,60177.16,42732.2,102909.36,171.52
