"case","seed","epw","afn","area","atm","azimuth","boundaries","cdh","envelope","hvac","lights","shgc"
"afn_max_area_601_atm_12_azi_318.93_bounds_outdoors_cdh_105_env_heavy_hvac_vrf_lights_16.87_shgc_0.36","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SC_Itapoa.869470_INMET","max",346,12,318.93,"outdoors",32561,"heavy","vrf",16.87,0.36
"afn_max_area_475_atm_12_azi_318.93_bounds_outdoors_cdh_105_env_heavy_hvac_vrf_lights_16.87_shgc_0.36","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SC_Itapoa.869470_INMET","max",734,12,318.93,"outdoors",32561,"heavy","vrf",16.87,0.36
"afn_max_area_601_atm_4_azi_318.93_bounds_outdoors_cdh_105_env_heavy_hvac_vrf_lights_16.87_shgc_0.36","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SC_Itapoa.869470_INMET","max",346,4,318.93,"outdoors",32561,"heavy","vrf",16.87,0.36
"afn_max_area_601_atm_12_azi_62.99_bounds_outdoors_cdh_105_env_heavy_hvac_vrf_lights_16.87_shgc_0.36","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SC_Itapoa.869470_INMET","max",346,12,62.99,"outdoors",32561,"heavy","vrf",16.87,0.36
"afn_max_area_601_atm_12_azi_318.93_bounds_outdoors_cdh_49_env_heavy_hvac_vrf_lights_16.87_shgc_0.36","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MT_Agua.Boa.866860_INMET","max",346,12,318.93,"outdoors",52848,"heavy","vrf",16.87,0.36
"afn_max_area_601_atm_12_azi_318.93_bounds_outdoors_cdh_105_env_heavy_hvac_vrf_lights_9.51_shgc_0.36","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SC_Itapoa.869470_INMET","max",346,12,318.93,"outdoors",32561,"heavy","vrf",9.51,0.36
"afn_max_area_601_atm_12_azi_318.93_bounds_outdoors_cdh_105_env_heavy_hvac_vrf_lights_16.87_shgc_0.53","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SC_Itapoa.869470_INMET","max",346,12,318.93,"outdoors",32561,"heavy","vrf",16.87,0.53
"afn_max_area_276_atm_13_azi_334.49_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.26_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",500,13,334.49,"outdoors",52283,"heavy","vrf",13.26,0.66
"afn_max_area_402_atm_13_azi_334.49_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.26_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",1377,13,334.49,"outdoors",52283,"heavy","vrf",13.26,0.66
"afn_max_area_276_atm_9_azi_334.49_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.26_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",500,9,334.49,"outdoors",52283,"heavy","vrf",13.26,0.66
"afn_max_area_276_atm_13_azi_47.43_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.26_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",500,13,47.43,"outdoors",52283,"heavy","vrf",13.26,0.66
"afn_max_area_276_atm_13_azi_334.49_bounds_outdoors_cdh_15_env_heavy_hvac_vrf_lights_13.26_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_CE_Jaguaribe.818330_INMET","max",500,13,334.49,"outdoors",63710,"heavy","vrf",13.26,0.66
"afn_max_area_276_atm_13_azi_334.49_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.12_shgc_0.66","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",500,13,334.49,"outdoors",52283,"heavy","vrf",13.12,0.66
"afn_max_area_276_atm_13_azi_334.49_bounds_outdoors_cdh_19_env_heavy_hvac_vrf_lights_13.26_shgc_0.74","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_ES_Presidente.Kennedy.868530_INMET","max",500,13,334.49,"outdoors",52283,"heavy","vrf",13.26,0.74
