hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
split,2.5,10.259765625,0.533984375,max,238.0078125,outdoors,3495,15.31,11.66,79.683203385139
split,2.5,10.697265625,0.483203125,max,159.2578125,outdoors,3495,15.31,11.66,81.638342364061
split,2.5,10.697265625,0.483203125,max,90.3515625,adiabatic,3495,15.31,11.66,72.5332929301673
split,2.5,10.697265625,0.483203125,max,90.3515625,outdoors,3495,15.31,11.66,81.0071532214412
split,2.5,10.697265625,0.483203125,min,90.3515625,outdoors,3495,15.31,11.66,77.3381020262204
split,2.5,10.697265625,0.596484375,max,90.3515625,outdoors,3495,15.31,11.66,80.6953381064373
split,2.5,10.970703125,0.570703125,min,326.6015625,adiabatic,3495,15.31,11.66,74.1715243089618
split,2.5,12.009765625,0.420703125,min,103.0078125,adiabatic,3495,15.31,11.66,77.2877091725553
split,2.5,12.009765625,0.420703125,min,281.6015625,adiabatic,3495,15.31,11.66,77.8552050237053
split,2.5,12.009765625,0.420703125,min,281.6015625,outdoors,3495,15.31,11.66,82.4643034076074
split,2.5,12.009765625,0.683984375,min,103.0078125,outdoors,3495,15.31,11.66,81.7943424032449
split,2.5,12.009765625,0.683984375,min,281.6015625,adiabatic,3495,15.31,11.66,79.3737482057537
split,2.5,12.283203125,0.696484375,min,249.2578125,outdoors,3495,15.31,11.66,83.4404561173042
split,2.5,13.158203125,0.308203125,min,22.8515625,outdoors,3495,15.31,11.66,86.2889788588473
split,2.5,13.158203125,0.321484375,min,181.7578125,outdoors,3495,15.31,11.66,86.219639278477
split,2.5,14.197265625,0.383203125,min,180.3515625,outdoors,3495,15.31,11.66,89.7906626254398
split,2.5,15.072265625,0.658203125,min,316.7578125,outdoors,3495,15.31,11.66,93.4692696302094
split,2.5,15.072265625,0.658203125,min,67.8515625,adiabatic,3495,15.31,11.66,89.0682759742863
split,2.5,15.072265625,0.658203125,min,67.8515625,outdoors,3495,15.31,11.66,91.689008394948
split,2.5,15.072265625,0.671484375,min,67.8515625,outdoors,3495,15.31,11.66,91.6963544870591
split,2.5,15.783203125,0.483203125,max,90.3515625,outdoors,3495,15.31,11.66,96.3078316222718
split,2.5,15.783203125,0.596484375,min,159.2578125,adiabatic,3495,15.31,11.66,93.3578560569972
split,2.5,17.259765625,0.333984375,min,326.6015625,adiabatic,3495,15.31,11.66,96.005530286773
split,2.5,17.259765625,0.570703125,min,326.6015625,adiabatic,3495,15.31,11.66,97.2143824659541
split,2.5,17.259765625,0.570703125,min,58.0078125,adiabatic,3495,15.31,11.66,96.6190671990406
split,2.5,17.970703125,0.370703125,max,238.0078125,outdoors,3495,15.31,11.66,103.398720789994
split,2.5,17.970703125,0.533984375,max,146.6015625,outdoors,3495,15.31,11.66,103.626701320095
split,2.5,17.970703125,0.533984375,max,238.0078125,outdoors,3495,15.31,11.66,103.376538384815
split,2.5,18.408203125,0.658203125,min,67.8515625,outdoors,3495,15.31,11.66,102.813373905857
split,2.5,18.408203125,0.671484375,min,316.7578125,adiabatic,3495,15.31,11.66,102.163907368542
