hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
split,3.7,15,0.3,max,90,outdoors,9367,17.38,13.25,92.94312
split,3.7,20,0.3,max,90,outdoors,9367,17.38,13.25,109.3248
vrf,3.7,15,0.3,max,90,outdoors,9367,17.38,13.25,72.338
vrf,3.7,20,0.3,max,90,outdoors,9367,17.38,13.25,89.35452
split,3.7,15,0.3,max,90,outdoors,65930,25.52,21.39,135.8109
split,3.7,20,0.3,max,90,outdoors,65930,25.52,21.39,154.6781
vrf,3.7,15,0.3,max,90,outdoors,65930,25.52,21.39,93.61983
vrf,3.7,20,0.3,max,90,outdoors,65930,25.52,21.39,110.392
