hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,targ
split,2.5,10.259765625,0.533984375,max,238.0078125,outdoors,3495,88.4585367184722
split,2.5,10.697265625,0.483203125,max,159.2578125,outdoors,3495,90.4136756973943
split,2.5,10.697265625,0.483203125,max,90.3515625,adiabatic,3495,81.3086262635006
split,2.5,10.697265625,0.483203125,max,90.3515625,outdoors,3495,89.7824865547745
split,2.5,10.697265625,0.483203125,min,90.3515625,outdoors,3495,86.1134353595537
split,2.5,10.697265625,0.596484375,max,90.3515625,outdoors,3495,89.4706714397706
split,2.5,10.970703125,0.570703125,min,326.6015625,adiabatic,3495,82.9468576422952
split,2.5,12.009765625,0.420703125,min,103.0078125,adiabatic,3495,86.0630425058887
split,2.5,12.009765625,0.420703125,min,281.6015625,adiabatic,3495,86.6305383570386
split,2.5,12.009765625,0.420703125,min,281.6015625,outdoors,3495,91.2396367409407
split,2.5,12.009765625,0.683984375,min,103.0078125,outdoors,3495,90.5696757365782
split,2.5,12.009765625,0.683984375,min,281.6015625,adiabatic,3495,88.149081539087
split,2.5,12.283203125,0.696484375,min,249.2578125,outdoors,3495,92.2157894506375
split,2.5,13.158203125,0.308203125,min,22.8515625,outdoors,3495,95.0643121921806
split,2.5,13.158203125,0.321484375,min,181.7578125,outdoors,3495,94.9949726118104
split,2.5,14.197265625,0.383203125,min,180.3515625,outdoors,3495,98.5659959587731
split,2.5,15.072265625,0.658203125,min,316.7578125,outdoors,3495,102.244602963543
split,2.5,15.072265625,0.658203125,min,67.8515625,adiabatic,3495,97.8436093076196
split,2.5,15.072265625,0.658203125,min,67.8515625,outdoors,3495,100.464341728281
split,2.5,15.072265625,0.671484375,min,67.8515625,outdoors,3495,100.471687820392
split,2.5,15.783203125,0.483203125,max,90.3515625,outdoors,3495,105.083164955605
split,2.5,15.783203125,0.596484375,min,159.2578125,adiabatic,3495,102.133189390331
split,2.5,17.259765625,0.333984375,min,326.6015625,adiabatic,3495,104.780863620106
split,2.5,17.259765625,0.570703125,min,326.6015625,adiabatic,3495,105.989715799288
split,2.5,17.259765625,0.570703125,min,58.0078125,adiabatic,3495,105.394400532374
split,2.5,17.970703125,0.370703125,max,238.0078125,outdoors,3495,112.174054123327
split,2.5,17.970703125,0.533984375,max,146.6015625,outdoors,3495,112.402034653428
split,2.5,17.970703125,0.533984375,max,238.0078125,outdoors,3495,112.151871718148
split,2.5,18.408203125,0.658203125,min,67.8515625,outdoors,3495,111.58870723919
split,2.5,18.408203125,0.671484375,min,316.7578125,adiabatic,3495,110.939240701875
split,2.5,19.283203125,0.496484375,max,69.2578125,adiabatic,3495,110.109100916506
split,2.5,19.447265625,0.446484375,max,135.3515625,outdoors,3495,116.93204191107
split,2.5,19.447265625,0.533203125,max,135.3515625,outdoors,3495,116.886814583164
split,2.5,19.447265625,0.533203125,max,24.2578125,outdoors,3495,117.31372888045
split,2.5,19.447265625,0.533203125,min,135.3515625,outdoors,3495,115.93251320178
split,2.5,19.720703125,0.420703125,min,103.0078125,outdoors,3495,115.951977770231
split,2.5,19.720703125,0.420703125,min,281.6015625,adiabatic,3495,115.147394800128
split,2.5,19.720703125,0.683984375,min,103.0078125,adiabatic,3495,115.753408023153
split,2.5,19.720703125,0.683984375,min,103.0078125,outdoors,3495,116.302031044843
split,2.5,19.720703125,0.683984375,min,281.6015625,outdoors,3495,117.484679634707
split,2.5,20.759765625,0.633984375,max,148.0078125,adiabatic,3495,116.759889980974
split,2.5,20.759765625,0.670703125,max,56.6015625,adiabatic,3495,115.714743813826
split,2.5,21.033203125,0.446484375,min,24.2578125,outdoors,3495,120.975409570226
split,2.5,21.033203125,0.533203125,max,135.3515625,outdoors,3495,121.900455543686
split,2.5,21.197265625,0.583203125,max,0.3515625,adiabatic,3495,116.866443910552
split,2.5,21.470703125,0.633984375,max,148.0078125,adiabatic,3495,119.29708553006
split,2.5,21.470703125,0.633984375,max,56.6015625,adiabatic,3495,118.092898492629
split,2.5,21.470703125,0.670703125,max,148.0078125,adiabatic,3495,119.456123949754
split,2.5,22.509765625,0.520703125,min,191.6015625,outdoors,3495,127.247701966075
split,2.5,22.509765625,0.583984375,min,193.0078125,adiabatic,3495,128.105175771836
split,2.5,23.220703125,0.520703125,min,193.0078125,adiabatic,3495,130.247361828839
split,2.5,23.220703125,0.583984375,min,191.6015625,adiabatic,3495,130.758426198857
split,2.5,23.220703125,0.583984375,min,193.0078125,adiabatic,3495,130.773823218105
split,2.5,23.220703125,0.583984375,min,193.0078125,outdoors,3495,130.011511219996
split,2.5,23.822265625,0.308203125,min,181.7578125,outdoors,3495,130.849511254628
split,2.5,23.822265625,0.308203125,min,22.8515625,outdoors,3495,130.324172468349
split,2.5,23.822265625,0.321484375,min,22.8515625,outdoors,3495,130.335414296054
