hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
vrf,2.5,9.9,0.7,max,90,outdoors,3495,15.31,11.66,55.2436333333334
vrf,2.5,9.9,0.7,min,90,outdoors,3495,15.31,11.66,58.0895
vrf,2.5,9.9,0.7,max,180,outdoors,3495,15.31,11.66,55.9846666666667
vrf,2.5,9.9,0.7,min,180,outdoors,3495,15.31,11.66,59.30215
vrf,2.5,9.9,0.7,max,270,outdoors,3495,15.31,11.66,55.9153166666667
vrf,2.5,9.9,0.7,min,270,outdoors,3495,15.31,11.66,58.8902833333334
vrf,3.7,9.9,0.3,max,0,outdoors,3495,15.31,11.66,53.89005
vrf,3.7,9.9,0.3,min,0,outdoors,3495,15.31,11.66,56.24135
vrf,2.5,9.9,0.3,max,180,adiabatic,3495,15.31,11.66,55.7283166666667
vrf,3.7,9.9,0.3,max,90,outdoors,3495,15.31,11.66,54.2476666666667
vrf,3.7,9.9,0.3,min,90,outdoors,3495,15.31,11.66,56.7703166666667
vrf,3.7,9.9,0.3,max,180,outdoors,3495,15.31,11.66,54.5125333333333
vrf,3.7,9.9,0.3,min,180,outdoors,3495,15.31,11.66,57.36655
vrf,3.7,9.9,0.3,max,270,outdoors,3495,15.31,11.66,54.499
vrf,3.7,9.9,0.3,min,270,outdoors,3495,15.31,11.66,57.1209
vrf,3.7,9.9,0.7,max,0,outdoors,3495,15.31,11.66,54.77795
vrf,3.7,9.9,0.7,min,0,outdoors,3495,15.31,11.66,57.5890666666667
vrf,3.7,9.9,0.7,max,90,outdoors,3495,15.31,11.66,55.4674833333333
vrf,3.7,9.9,0.7,min,90,outdoors,3495,15.31,11.66,58.4935
vrf,2.5,9.9,0.3,min,180,adiabatic,3495,15.31,11.66,56.4373666666667
vrf,3.7,9.9,0.7,max,180,outdoors,3495,15.31,11.66,56.1402833333334
vrf,3.7,9.9,0.7,min,180,outdoors,3495,15.31,11.66,59.5359666666667
vrf,3.7,9.9,0.7,max,270,outdoors,3495,15.31,11.66,56.0525166666667
vrf,3.7,9.9,0.7,min,270,outdoors,3495,15.31,11.66,59.1821833333333
vrf,2.5,23.6,0.3,max,0,adiabatic,3495,15.31,11.66,101.39175
vrf,2.5,23.6,0.3,min,0,adiabatic,3495,15.31,11.66,102.957983333333
vrf,2.5,23.6,0.3,max,90,adiabatic,3495,15.31,11.66,101.519566666667
vrf,2.5,23.6,0.3,min,90,adiabatic,3495,15.31,11.66,103.083583333333
vrf,2.5,23.6,0.3,max,180,adiabatic,3495,15.31,11.66,101.531983333333
vrf,2.5,23.6,0.3,min,180,adiabatic,3495,15.31,11.66,103.215916666667
vrf,2.5,9.9,0.3,max,270,adiabatic,3495,15.31,11.66,55.4992833333334
vrf,2.5,23.6,0.3,max,270,adiabatic,3495,15.31,11.66,101.313216666667
vrf,2.5,23.6,0.3,min,270,adiabatic,3495,15.31,11.66,103.013083333333
vrf,2.5,23.6,0.7,max,0,adiabatic,3495,15.31,11.66,101.785233333333
vrf,2.5,23.6,0.7,min,0,adiabatic,3495,15.31,11.66,103.46485
vrf,2.5,23.6,0.7,max,90,adiabatic,3495,15.31,11.66,102.040233333333
vrf,2.5,23.6,0.7,min,90,adiabatic,3495,15.31,11.66,103.741533333333
vrf,2.5,23.6,0.7,max,180,adiabatic,3495,15.31,11.66,102.24875
vrf,2.5,23.6,0.7,min,180,adiabatic,3495,15.31,11.66,104.141333333333
vrf,2.5,23.6,0.7,max,270,adiabatic,3495,15.31,11.66,101.963716666667
