"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"h_split_e_2.5_l_17.97_s_0.37_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.970703125,0.370703125,"max",238.0078125,"outdoors",3495,40.7010297184171
"h_split_e_2.5_l_17.97_s_0.53_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.970703125,0.533984375,"max",146.6015625,"outdoors",3495,40.8441632278182
"h_split_e_2.5_l_17.97_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.970703125,0.533984375,"max",238.0078125,"outdoors",3495,41.6132526018563
"h_split_e_2.5_l_18.41_s_0.66_v_min_a_67.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,18.408203125,0.658203125,"min",67.8515625,"outdoors",3495,43.4295101438543
"h_split_e_2.5_l_18.41_s_0.67_v_min_a_316.76_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,18.408203125,0.671484375,"min",316.7578125,"adiabatic",3495,44.253781091041
"h_split_e_2.5_l_19.28_s_0.5_v_max_a_69.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.283203125,0.496484375,"max",69.2578125,"adiabatic",3495,40.3838897431714
"h_split_e_2.5_l_19.45_s_0.45_v_max_a_135.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.447265625,0.446484375,"max",135.3515625,"outdoors",3495,40.7811762042354
"h_split_e_2.5_l_19.45_s_0.53_v_max_a_135.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.447265625,0.533203125,"max",135.3515625,"outdoors",3495,41.2492610332491
"h_split_e_2.5_l_19.45_s_0.53_v_max_a_24.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.447265625,0.533203125,"max",24.2578125,"outdoors",3495,40.3015311430844
"h_split_e_2.5_l_19.45_s_0.53_v_min_a_135.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.447265625,0.533203125,"min",135.3515625,"outdoors",3495,44.7577266469287
"h_split_e_2.5_l_19.72_s_0.42_v_min_a_103.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.720703125,0.420703125,"min",103.0078125,"outdoors",3495,43.5089394143778
"h_split_e_2.5_l_19.72_s_0.42_v_min_a_281.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.720703125,0.420703125,"min",281.6015625,"adiabatic",3495,44.3329578455433
"h_split_e_2.5_l_19.72_s_0.68_v_min_a_103.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.720703125,0.683984375,"min",103.0078125,"adiabatic",3495,44.9389710685678
"h_split_e_2.5_l_19.72_s_0.68_v_min_a_103.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.720703125,0.683984375,"min",103.0078125,"outdoors",3495,44.9389710685678
"h_split_e_2.5_l_19.72_s_0.68_v_min_a_281.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,19.720703125,0.683984375,"min",281.6015625,"outdoors",3495,45.954419837913
"h_split_e_2.5_l_20.76_s_0.63_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,20.759765625,0.633984375,"max",148.0078125,"adiabatic",3495,42.3894613251447
"h_split_e_2.5_l_20.76_s_0.67_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,20.759765625,0.670703125,"max",56.6015625,"adiabatic",3495,41.3443151579964
"h_split_e_2.5_l_21.03_s_0.45_v_min_a_24.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,21.033203125,0.446484375,"min",24.2578125,"outdoors",3495,43.7036816856005
"h_split_e_2.5_l_21.03_s_0.53_v_max_a_135.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,21.033203125,0.533203125,"max",135.3515625,"outdoors",3495,41.8513234910428
"h_split_e_2.5_l_21.2_s_0.58_v_max_a_0.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,21.197265625,0.583203125,"max",0.3515625,"adiabatic",3495,41.1196894734729
"h_split_e_2.5_l_21.47_s_0.63_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,21.470703125,0.633984375,"max",148.0078125,"adiabatic",3495,42.6902454504743
"h_split_e_2.5_l_21.47_s_0.63_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,21.470703125,0.633984375,"max",56.6015625,"adiabatic",3495,41.4860584130431
"h_split_e_2.5_l_21.47_s_0.67_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,21.470703125,0.670703125,"max",148.0078125,"adiabatic",3495,42.8492838701682
"h_split_e_2.5_l_22.51_s_0.52_v_min_a_191.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,22.509765625,0.520703125,"min",191.6015625,"outdoors",3495,47.9763802291101
"h_split_e_2.5_l_22.51_s_0.58_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,22.509765625,0.583984375,"min",193.0078125,"adiabatic",3495,48.5165439910069
"h_split_e_2.5_l_23.22_s_0.52_v_min_a_193.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.220703125,0.520703125,"min",193.0078125,"adiabatic",3495,48.422318624253
"h_split_e_2.5_l_23.22_s_0.58_v_min_a_191.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,23.220703125,0.583984375,"min",191.6015625,"adiabatic",3495,48.9333829942708
