"hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"split",3.7,13.322265625,0.608203125,"min",112.8515625,"adiabatic",3495,41.7596286543633
"split",3.7,13.322265625,0.608203125,"min",91.7578125,"adiabatic",3495,41.3907984281377
"split",3.7,13.759765625,0.433984375,"min",236.6015625,"outdoors",3495,42.0109904417547
"split",3.7,13.759765625,0.470703125,"min",236.6015625,"outdoors",3495,42.3076394462856
"split",3.7,13.759765625,0.470703125,"min",328.0078125,"outdoors",3495,41.0100639368013
"split",3.7,14.197265625,0.496484375,"max",69.2578125,"adiabatic",3495,39.2479722301621
"split",3.7,14.470703125,0.433984375,"min",328.0078125,"outdoors",3495,41.1862349036691
"split",3.7,14.470703125,0.470703125,"min",236.6015625,"outdoors",3495,42.7182470443122
"split",3.7,15.947265625,0.346484375,"max",45.3515625,"adiabatic",3495,39.1259784864323
"split",3.7,15.947265625,0.346484375,"min",294.2578125,"adiabatic",3495,41.8986624725984
"split",3.7,15.947265625,0.433203125,"max",294.2578125,"adiabatic",3495,40.0858824800481
"split",3.7,15.947265625,0.433203125,"max",45.3515625,"adiabatic",3495,39.3339016289002
"split",3.7,15.947265625,0.433203125,"min",45.3515625,"adiabatic",3495,41.3796717202169
"split",3.7,16.658203125,0.421484375,"min",112.8515625,"adiabatic",3495,42.4255978859965
"split",3.7,16.658203125,0.421484375,"min",91.7578125,"adiabatic",3495,42.120614771584
"split",3.7,16.658203125,0.608203125,"min",112.8515625,"adiabatic",3495,43.5723750781349
"split",3.7,16.658203125,0.608203125,"min",91.7578125,"adiabatic",3495,43.1862087411746
"split",3.7,17.259765625,0.570703125,"min",326.6015625,"adiabatic",3495,43.5726303296889
"split",3.7,17.533203125,0.346484375,"max",294.2578125,"adiabatic",3495,40.2544957762659
"split",3.7,17.533203125,0.346484375,"min",294.2578125,"adiabatic",3495,42.8220904554734
"split",3.7,17.533203125,0.346484375,"min",45.3515625,"adiabatic",3495,41.9071796546324
"split",3.7,17.533203125,0.433203125,"max",45.3515625,"adiabatic",3495,39.7404890823926
"split",3.7,17.533203125,0.433203125,"min",294.2578125,"adiabatic",3495,43.248702425401
"split",3.7,17.697265625,0.396484375,"max",339.2578125,"outdoors",3495,39.9099514493857
"split",3.7,17.697265625,0.683203125,"min",270.3515625,"adiabatic",3495,45.4493569245138
"split",3.7,17.970703125,0.533984375,"max",238.0078125,"outdoors",3495,41.7383702139932
"split",3.7,19.283203125,0.383203125,"max",69.2578125,"adiabatic",3495,40.2182338757487
"split",3.7,19.283203125,0.496484375,"max",180.3515625,"adiabatic",3495,41.816772903273
"split",3.7,19.283203125,0.496484375,"max",69.2578125,"adiabatic",3495,40.6531334256088
"split",3.7,19.283203125,0.496484375,"max",69.2578125,"outdoors",3495,40.6531334256088
"split",3.7,19.283203125,0.496484375,"min",69.2578125,"adiabatic",3495,43.7368745064691
"split",3.7,19.447265625,0.446484375,"min",24.2578125,"outdoors",3495,43.4591576467546
"split",3.7,19.447265625,0.533203125,"max",135.3515625,"outdoors",3495,41.5494286852337
"split",3.7,21.033203125,0.446484375,"max",24.2578125,"outdoors",3495,40.8671010444039
"split",3.7,21.033203125,0.446484375,"min",135.3515625,"outdoors",3495,45.5056362531328
"split",3.7,21.033203125,0.446484375,"min",24.2578125,"outdoors",3495,44.394159619888
"split",3.7,21.033203125,0.533203125,"min",24.2578125,"outdoors",3495,44.8307145064346
"split",3.7,21.197265625,0.583203125,"max",0.3515625,"adiabatic",3495,41.5576636142788
