"Model","Sample","MAE","RMSE","R²"
"LM","Test",8.50885126711357,10.9522033354044,0.837984297812363
"SVMR","Train",7.29474322639484,9.56723635757479,0.874387153630323
"SVMR","Test",7.32744633354674,9.56436961562401,0.877264699689598
"BRNN","Train",7.30520499272087,9.44032576289531,0.876927793916165
"BRNN","Test",7.35612008557856,9.46431510017018,0.879015026488327
