"Model","Sample","RMSE","R²","MAE"
"LM","Test",8.49090703440778,0.891497621156428,6.5483194399982
"GBRT","Train",4.98220033600745,0.963833520157187,3.6713078613144
"GBRT","Test",4.88875519745863,0.96441643803944,3.53592702911844
"QRF","Train",5.75349095406395,0.953357777390928,3.84959039651186
"QRF","Test",5.5027378977548,0.956591023370198,3.58712099214499
"SVM","Train",4.86778707438944,0.96494411044353,3.4626044661728
"SVM","Test",4.8574874083145,0.964539913751109,3.39732605611116
"BRNN","Train",5.82521198849558,0.949709546011761,4.30368963563198
"BRNN","Test",5.80418285889861,0.949358321561641,4.23857433859399
