"Model","Sample","RMSE","R²","MAE"
"LM","Test",8.49090703440778,0.891497621156428,6.5483194399982
"GBRT","Train",4.99803179538049,0.963622183944503,3.68798810621329
"GBRT","Test",4.88875519745862,0.96441643803944,3.53592702911844
"QRF","Train",5.76633583036032,0.953188042073296,3.8733454509531
"QRF","Test",5.56020807169706,0.955676138764242,3.61428619837063
"SVM","Train",4.8550118833775,0.965139155450743,3.45223617466874
"SVM","Test",4.8574874083145,0.964539913751109,3.39732605611116
"BRNN","Train",5.76718186783697,0.950706699927401,4.2583876134809
"BRNN","Test",5.75121851773477,0.950296154918664,4.25924086538051
