"Model","Sample","RMSE","R²","MAE"
"LM","Test",8.49090703440778,0.891497621156428,6.5483194399982
"GBRT","Train",4.89405737960525,0.965117519268638,3.49463463699469
"GBRT","Test",4.77725430943058,0.966209856558743,3.37558373230913
"QRF","Train",5.72715089159806,0.952753600430462,3.82427961765905
"QRF","Test",5.5696587099937,0.954599576791646,3.61327263868456
"SVM","Train",4.73874741601693,0.966756090369023,3.38742084773141
"SVM","Test",4.71094758429457,0.966688639593983,3.28581333782292
"BRNN","Train",5.13785884356124,0.960906108917407,3.74935387638459
"BRNN","Test",5.13288750423421,0.960423235942816,3.7135962998139
