"Model","Sample","RMSE","R²","MAE"
"LM","Test",8.49090703440778,0.891497621156428,6.5483194399982
"GBRT","Train",4.75644260990518,0.967041438605122,3.39665749759661
"GBRT","Test",4.77725430943059,0.966209856558743,3.37558373230913
"QRF","Train",5.56316074483472,0.955673934933135,3.67900063861859
"QRF","Test",5.5231273869275,0.955698250886027,3.5824435755156
"SVM","Train",4.66679616283615,0.967740886234518,3.33595759799906
"SVM","Test",4.71231414062263,0.966738459131586,3.2994838541984
"BRNN","Train",5.04107239164526,0.962414715007311,3.70270154913149
"BRNN","Test",4.96447750154908,0.962952864325017,3.5981665954907
