"Model","Sample","RMSE","R²","MAE"
"LM","Test",8.49090703440778,0.891497621156429,6.54831943999818
"GBRT","Train",7.2576226738338,0.932094010179863,5.46268968954288
"GBRT","Test",7.16119591832751,0.933246009827335,5.3347549423364
"QRF","Train",7.02080188327445,0.927875633388936,4.74450277063618
"QRF","Test",6.16796657230283,0.943038320541415,3.887437927999
"SVM","Train",5.5471764259911,0.954681944653555,3.98891335784997
"SVM","Test",5.31253245148852,0.957527603920937,3.75893293772955
"BRNN","Train",7.27085255897142,0.921726613769499,5.49793626205777
"BRNN","Test",7.10422897013204,0.924064066445591,5.35694134829186
