ghr,hvac,lights,boundaries,envelope,shgc,azimuth,afn,total_hvac_light_cons
3495,vrf,9.9,adiabatic,2.5,0.3,0,max,30505.91
3495,vrf,23.6,outdoors,2.5,0.3,180,max,59283.46
3495,vrf,23.6,outdoors,2.5,0.3,180,min,61445.17
3495,vrf,23.6,outdoors,2.5,0.3,270,max,59188.03
3495,vrf,23.6,outdoors,2.5,0.3,270,min,61311.61
3495,vrf,23.6,outdoors,2.5,0.7,0,max,59258.77
3495,vrf,23.6,outdoors,2.5,0.7,0,min,61366.51
3495,vrf,23.6,outdoors,2.5,0.7,90,max,59747.1
3495,vrf,23.6,outdoors,2.5,0.7,90,min,61792.73
3495,vrf,23.6,outdoors,2.5,0.7,180,max,60346.02
3495,vrf,23.6,outdoors,2.5,0.7,180,min,62384.17
3495,vrf,9.9,adiabatic,2.5,0.7,90,max,30830.16
3495,vrf,23.6,outdoors,2.5,0.7,270,max,60177.16
3495,vrf,23.6,outdoors,2.5,0.7,270,min,62202.1
3495,vrf,23.6,outdoors,3.7,0.3,0,max,58875.34
3495,vrf,23.6,outdoors,3.7,0.3,0,min,60999.74
3495,vrf,23.6,outdoors,3.7,0.3,90,max,59122.97
3495,vrf,23.6,outdoors,3.7,0.3,90,min,61235.51
3495,vrf,23.6,outdoors,3.7,0.3,180,max,59403.78
3495,vrf,23.6,outdoors,3.7,0.3,180,min,61552.04
3495,vrf,23.6,outdoors,3.7,0.3,270,max,59320.48
3495,vrf,23.6,outdoors,3.7,0.3,270,min,61461.08
3495,vrf,9.9,adiabatic,2.5,0.7,90,min,31333.78
3495,vrf,23.6,outdoors,3.7,0.7,0,max,59536.14
3495,vrf,23.6,outdoors,3.7,0.7,0,min,61636.56
3495,vrf,23.6,outdoors,3.7,0.7,90,max,59972.8
3495,vrf,23.6,outdoors,3.7,0.7,90,min,62000.21
3495,vrf,23.6,outdoors,3.7,0.7,180,max,60499.96
3495,vrf,23.6,outdoors,3.7,0.7,180,min,62489.39
3495,vrf,23.6,outdoors,3.7,0.7,270,max,60345.85
3495,vrf,23.6,outdoors,3.7,0.7,270,min,62367.96
3495,vrf,9.9,adiabatic,2.5,0.7,180,max,30911.52
3495,vrf,9.9,adiabatic,2.5,0.7,180,min,31553.08
3495,vrf,9.9,adiabatic,2.5,0.7,270,max,30773.83
3495,vrf,9.9,adiabatic,2.5,0.7,270,min,31354.45
3495,vrf,9.9,adiabatic,3.7,0.3,0,max,28821.1
3495,vrf,9.9,adiabatic,3.7,0.3,0,min,29183.79
3495,vrf,9.9,adiabatic,3.7,0.3,90,max,28904.97
3495,vrf,9.9,adiabatic,3.7,0.3,90,min,29314.38
3495,vrf,9.9,adiabatic,2.5,0.3,0,min,30855.9
3495,vrf,9.9,adiabatic,3.7,0.3,180,max,28887.09
3495,vrf,9.9,adiabatic,3.7,0.3,180,min,29393.81
3495,vrf,9.9,adiabatic,3.7,0.3,270,max,28856.89
3495,vrf,9.9,adiabatic,3.7,0.3,270,min,29308.08
3495,vrf,9.9,adiabatic,3.7,0.7,0,max,29034.47
3495,vrf,9.9,adiabatic,3.7,0.7,0,min,29612.97
3495,vrf,9.9,adiabatic,3.7,0.7,90,max,29212.89
3495,vrf,9.9,adiabatic,3.7,0.7,90,min,29885.4
3495,vrf,9.9,adiabatic,3.7,0.7,180,max,29285.4
3495,vrf,9.9,adiabatic,3.7,0.7,180,min,30165.87
3495,vrf,9.9,adiabatic,2.5,0.3,90,max,30575.02
3495,vrf,9.9,adiabatic,3.7,0.7,270,max,29262.26
3495,vrf,9.9,adiabatic,3.7,0.7,270,min,30004.6
3495,vrf,9.9,outdoors,2.5,0.3,0,max,29347.77
3495,vrf,9.9,outdoors,2.5,0.3,0,min,30628.89
3495,vrf,9.9,outdoors,2.5,0.3,90,max,29593.98
3495,vrf,9.9,outdoors,2.5,0.3,90,min,31008.68
3495,vrf,9.9,outdoors,2.5,0.3,180,max,29789.9
3495,vrf,9.9,outdoors,2.5,0.3,180,min,31463.1
3495,vrf,9.9,outdoors,2.5,0.3,270,max,29799.49
3495,vrf,9.9,outdoors,2.5,0.3,270,min,31297.89
3495,vrf,9.9,adiabatic,2.5,0.3,90,min,30933.17
3495,vrf,9.9,outdoors,2.5,0.7,0,max,29841.9
3495,vrf,9.9,outdoors,2.5,0.7,0,min,31386.46
3495,vrf,9.9,outdoors,2.5,0.7,90,max,30283.71
3495,vrf,9.9,outdoors,2.5,0.7,90,min,31991.23
3495,vrf,9.9,outdoors,2.5,0.7,180,max,30728.33
3495,vrf,9.9,outdoors,2.5,0.7,180,min,32718.82
3495,vrf,9.9,outdoors,2.5,0.7,270,max,30686.72
3495,vrf,9.9,outdoors,2.5,0.7,270,min,32471.7
3495,vrf,9.9,outdoors,3.7,0.3,0,max,29471.56
3495,vrf,9.9,outdoors,3.7,0.3,0,min,30882.34
3495,vrf,9.9,adiabatic,2.5,0.3,180,max,30574.52
3495,vrf,9.9,outdoors,3.7,0.3,90,max,29686.13
3495,vrf,9.9,outdoors,3.7,0.3,90,min,31199.72
3495,vrf,9.9,outdoors,3.7,0.3,180,max,29845.05
3495,vrf,9.9,outdoors,3.7,0.3,180,min,31557.46
3495,vrf,9.9,outdoors,3.7,0.3,270,max,29836.93
3495,vrf,9.9,outdoors,3.7,0.3,270,min,31410.07
3495,vrf,9.9,outdoors,3.7,0.7,0,max,30004.3
3495,vrf,9.9,outdoors,3.7,0.7,0,min,31690.97
